id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[215   1]]

 [[215 126]]

 [[229 126]]

 [[229   1]]]","(222, 63)",-,-,'07,$50 billion,-,bar
1,"[[[234   1]]

 [[234 126]]

 [[247 126]]

 [[247   1]]]","(240, 63)",-,-,'07,$50 billion,-,bar
2,"[[[253  28]]

 [[253 126]]

 [[266 126]]

 [[266  28]]]","(259, 77)",-,-,'08,$50 billion,-,bar
3,"[[[177  29]]

 [[177 126]]

 [[191 126]]

 [[191  29]]]","(184, 77)",-,-,'07,$50 billion,-,bar
4,"[[[158  35]]

 [[158 126]]

 [[172 126]]

 [[172  35]]]","(165, 80)",-,-,'06,$50 billion,-,bar
5,"[[[517  56]]

 [[517 126]]

 [[530 126]]

 [[530  56]]]","(523, 91)",-,-,'11,$50 billion,-,bar
6,"[[[761  60]]

 [[761 126]]

 [[775 126]]

 [[775  60]]]","(768, 93)",-,-,'14,$50 billion,-,bar
7,"[[[272  61]]

 [[272 126]]

 [[285 126]]

 [[285  61]]]","(278, 93)",-,-,'08,$50 billion,-,bar
8,"[[[535  63]]

 [[535 126]]

 [[548 126]]

 [[548  63]]]","(541, 94)",-,-,'11,$50 billion,-,bar
9,"[[[ 65  68]]

 [[ 65 126]]

 [[ 78 126]]

 [[ 78  68]]]","(71, 97)",-,-,'06,$50 billion,-,bar
10,"[[[743  70]]

 [[743 126]]

 [[756 126]]

 [[756  70]]]","(749, 98)",-,-,'14,$50 billion,-,bar
11,"[[[140  75]]

 [[140 126]]

 [[153 126]]

 [[153  75]]]","(146, 100)",-,-,'06,0,-,bar
12,"[[[705  76]]

 [[705 126]]

 [[718 126]]

 [[718  76]]]","(711, 101)",-,-,'14,0,-,bar
13,"[[[837  81]]

 [[837 126]]

 [[850 126]]

 [[850  81]]]","(843, 103)",-,-,'15,0,-,bar
14,"[[[479  86]]

 [[479 126]]

 [[492 126]]

 [[492  86]]]","(485, 106)",-,-,'11,0,-,bar
15,"[[[818  88]]

 [[818 126]]

 [[832 126]]

 [[832  88]]]","(825, 107)",-,-,'15,0,-,bar
16,"[[[290  92]]

 [[290 126]]

 [[304 126]]

 [[304  92]]]","(297, 109)",-,-,'08,0,-,bar
17,"[[[592  92]]

 [[592 126]]

 [[606 126]]

 [[606  92]]]","(599, 109)",-,-,'12,0,-,bar
18,"[[[196  93]]

 [[196 126]]

 [[210 126]]

 [[210  93]]]","(203, 109)",-,-,'07,0,-,bar
19,"[[[780  93]]

 [[780 126]]

 [[794 126]]

 [[794  93]]]","(787, 109)",-,-,'15,0,-,bar
20,"[[[667  94]]

 [[667 126]]

 [[681 126]]

 [[681  94]]]","(674, 110)",-,-,'13,0,-,bar
21,"[[[686  96]]

 [[686 126]]

 [[699 126]]

 [[699  96]]]","(692, 111)",-,-,'13,0,-,bar
22,"[[[422  97]]

 [[422 126]]

 [[436 126]]

 [[436  97]]]","(429, 111)",-,-,'10,0,-,bar
23,"[[[441  98]]

 [[441 126]]

 [[455 126]]

 [[455  98]]]","(448, 112)",-,-,'10,0,-,bar
24,"[[[498  99]]

 [[498 126]]

 [[511 126]]

 [[511  99]]]","(504, 112)",-,-,'11,0,-,bar
25,"[[[309 100]]

 [[309 126]]

 [[323 126]]

 [[323 100]]]","(316, 113)",-,-,'08,0,-,bar
26,"[[[ 83 104]]

 [[ 83 126]]

 [[ 96 126]]

 [[ 96 104]]]","(89, 115)",-,-,'06,0,-,bar
27,"[[[629 105]]

 [[629 126]]

 [[643 126]]

 [[643 105]]]","(636, 115)",-,-,'13,0,-,bar
28,"[[[724 105]]

 [[724 126]]

 [[737 126]]

 [[737 105]]]","(730, 115)",-,-,'14,0,-,bar
29,"[[[102 107]]

 [[102 126]]

 [[115 126]]

 [[115 107]]]","(108, 116)",-,-,'06,0,-,bar
30,"[[[460 107]]

 [[460 126]]

 [[473 126]]

 [[473 107]]]","(466, 116)",-,-,'10,0,-,bar
31,"[[[554 109]]

 [[554 126]]

 [[568 126]]

 [[568 109]]]","(561, 117)",-,-,'12,0,-,bar
32,"[[[855 116]]

 [[855 126]]

 [[869 126]]

 [[869 116]]]","(862, 121)",-,-,'16,0,-,bar
33,"[[[610 119]]

 [[610 126]]

 [[624 126]]

 [[624 119]]]","(617, 122)",-,-,'12,0,-,bar
34,"[[[648 120]]

 [[648 126]]

 [[662 126]]

 [[662 120]]]","(655, 123)",-,-,'13,0,-,bar
35,"[[[799 120]]

 [[799 126]]

 [[813 126]]

 [[813 120]]]","(806, 123)",-,-,'15,0,-,bar
36,"[[[328 128]]

 [[328 196]]

 [[341 196]]

 [[341 128]]]","(334, 162)",-,-,'09,0,-,bar
37,"[[[347 128]]

 [[347 462]]

 [[360 462]]

 [[360 128]]]","(353, 295)",-,-,'09,0,-,bar
38,"[[[366 128]]

 [[366 355]]

 [[379 355]]

 [[379 128]]]","(372, 241)",-,-,'09,0,-,bar
39,"[[[384 128]]

 [[384 221]]

 [[398 221]]

 [[398 128]]]","(391, 174)",-,-,'09,0,-,bar
40,"[[[893 128]]

 [[893 159]]

 [[907 159]]

 [[907 128]]]","(900, 143)",-,-,'16,0,-,bar
