id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[850  37]]

 [[850 459]]

 [[879 459]]

 [[879  37]]]","(864, 248)",China,[135  87 171],'16,"$8,000",-,bar
1,"[[[772  50]]

 [[772 459]]

 [[802 459]]

 [[802  50]]]","(787, 254)",China,[135  87 171],'15,"$8,000",-,bar
2,"[[[694  68]]

 [[694 459]]

 [[724 459]]

 [[724  68]]]","(709, 263)",China,[135  87 171],'14,"$8,000",-,bar
3,"[[[616 101]]

 [[616 459]]

 [[646 459]]

 [[646 101]]]","(631, 280)",China,[135  87 171],'13,"6,000",-,bar
4,"[[[538 139]]

 [[538 459]]

 [[568 459]]

 [[568 139]]]","(553, 299)",China,[135  87 171],'12,"6,000",-,bar
5,"[[[461 177]]

 [[461 459]]

 [[490 459]]

 [[490 177]]]","(475, 318)",China,[135  87 171],'11,"6,000",-,bar
6,"[[[383 231]]

 [[383 459]]

 [[412 459]]

 [[412 231]]]","(397, 345)",China,[135  87 171],'10,"4,000",-,bar
7,"[[[305 266]]

 [[305 459]]

 [[334 459]]

 [[334 266]]]","(319, 362)",China,[135  87 171],'09,"4,000",-,bar
8,"[[[227 284]]

 [[227 459]]

 [[256 459]]

 [[256 284]]]","(241, 371)",China,[135  87 171],'08,"4,000",-,bar
9,"[[[494 295]]

 [[494 459]]

 [[523 459]]

 [[523 295]]]","(508, 377)",Venezuela,[229 178  81],'11,"4,000",-,bar
10,"[[[649 300]]

 [[649 459]]

 [[679 459]]

 [[679 300]]]","(664, 379)",Venezuela,[229 178  81],'13,"4,000",-,bar
11,"[[[727 300]]

 [[727 459]]

 [[757 459]]

 [[757 300]]]","(742, 379)",Venezuela,[229 178  81],'14,"4,000",-,bar
12,"[[[571 301]]

 [[571 459]]

 [[601 459]]

 [[601 301]]]","(586, 380)",Venezuela,[229 178  81],'12,"4,000",-,bar
13,"[[[416 311]]

 [[416 459]]

 [[445 459]]

 [[445 311]]]","(430, 385)",Venezuela,[229 178  81],'10,"2,000",-,bar
14,"[[[883 312]]

 [[883 459]]

 [[912 459]]

 [[912 312]]]","(897, 385)",Venezuela,[229 178  81],'16,"2,000",-,bar
15,"[[[805 315]]

 [[805 459]]

 [[835 459]]

 [[835 315]]]","(820, 387)",Venezuela,[229 178  81],'15,"2,000",-,bar
16,"[[[149 323]]

 [[149 459]]

 [[178 459]]

 [[178 323]]]","(163, 391)",China,[135  87 171],'07,"2,000",-,bar
17,"[[[260 325]]

 [[260 459]]

 [[289 459]]

 [[289 325]]]","(274, 392)",Venezuela,[229 178  81],'08,"2,000",-,bar
18,"[[[338 327]]

 [[338 459]]

 [[367 459]]

 [[367 327]]]","(352, 393)",Venezuela,[229 178  81],'09,"2,000",-,bar
19,"[[[182 340]]

 [[182 459]]

 [[211 459]]

 [[211 340]]]","(196, 399)",Venezuela,[229 178  81],'07,"2,000",-,bar
20,"[[[ 71 353]]

 [[ 71 459]]

 [[101 459]]

 [[101 353]]]","(86, 406)",China,[135  87 171],'06,"2,000",-,bar
21,"[[[104 358]]

 [[104 459]]

 [[133 459]]

 [[133 358]]]","(118, 408)",Venezuela,[229 178  81],'06,"2,000",-,bar
22,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,China,legend
23,"[[[86 11]]

 [[86 21]]

 [[97 21]]

 [[97 11]]]","(91, 16)",-,"(229, 178, 81)",-,-,Venezuela,legend
