id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[819  65]]

 [[819 459]]

 [[857 459]]

 [[857  65]]]","(838, 262)",-,-,2016,$40 billion,-,bar
1,"[[[613 136]]

 [[613 459]]

 [[651 459]]

 [[651 136]]]","(632, 297)",-,-,Q3,30,-,bar
2,"[[[871 138]]

 [[871 459]]

 [[909 459]]

 [[909 138]]]","(890, 298)",-,-,2016,30,-,bar
3,"[[[407 177]]

 [[407 459]]

 [[446 459]]

 [[446 177]]]","(426, 318)",-,-,Q3,30,-,bar
4,"[[[767 179]]

 [[767 459]]

 [[805 459]]

 [[805 179]]]","(786, 319)",-,-,Q3,30,-,bar
5,"[[[716 204]]

 [[716 459]]

 [[754 459]]

 [[754 204]]]","(735, 331)",-,-,2015,20,-,bar
6,"[[[665 209]]

 [[665 459]]

 [[703 459]]

 [[703 209]]]","(684, 334)",-,-,2015,20,-,bar
7,"[[[202 225]]

 [[202 459]]

 [[240 459]]

 [[240 225]]]","(221, 342)",-,-,Q3,20,-,bar
8,"[[[561 233]]

 [[561 459]]

 [[599 459]]

 [[599 233]]]","(580, 346)",-,-,Q3,20,-,bar
9,"[[[459 242]]

 [[459 459]]

 [[497 459]]

 [[497 242]]]","(478, 350)",-,-,2014,20,-,bar
10,"[[[510 247]]

 [[510 459]]

 [[548 459]]

 [[548 247]]]","(529, 353)",-,-,2014,20,-,bar
11,"[[[356 272]]

 [[356 459]]

 [[394 459]]

 [[394 272]]]","(375, 365)",-,-,Q3,20,-,bar
12,"[[[254 283]]

 [[254 459]]

 [[292 459]]

 [[292 283]]]","(273, 371)",-,-,2013,20,-,bar
13,"[[[304 287]]

 [[304 459]]

 [[343 459]]

 [[343 287]]]","(323, 373)",-,-,2013,20,-,bar
14,"[[[150 308]]

 [[150 459]]

 [[188 459]]

 [[188 308]]]","(169, 383)",-,-,Q3,10,-,bar
15,"[[[ 48 315]]

 [[ 48 459]]

 [[ 86 459]]

 [[ 86 315]]]","(67, 387)",-,-,2012,10,-,bar
16,"[[[ 99 319]]

 [[ 99 459]]

 [[137 459]]

 [[137 319]]]","(118, 389)",-,-,2012,10,-,bar
