id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[304  44]]

 [[304  60]]

 [[891  60]]

 [[891  44]]]","(597, 52)",-,-,-,Business model not viable,-,bar
1,"[[[304  77]]

 [[304  92]]

 [[773  92]]

 [[773  77]]]","(538, 84)",-,-,-,Customer development issues,-,bar
2,"[[[304 109]]

 [[304 124]]

 [[773 124]]

 [[773 109]]]","(538, 116)",-,-,-,Lacked financing/investors,-,bar
3,"[[[304 141]]

 [[304 156]]

 [[773 156]]

 [[773 141]]]","(538, 148)",-,-,-,No market need,-,bar
4,"[[[304 173]]

 [[304 188]]

 [[655 188]]

 [[655 173]]]","(479, 180)",-,-,-,Disharmony on teamfinvestors,-,bar
5,"[[[304 205]]

 [[304 220]]

 [[655 220]]

 [[655 205]]]","(479, 212)",-,-,-,Inexperience/skills gap,-,bar
6,"[[[304 237]]

 [[304 252]]

 [[655 252]]

 [[655 237]]]","(479, 244)",-,-,-,Not enough traction,-,bar
7,"[[[304 269]]

 [[304 284]]

 [[655 284]]

 [[655 269]]]","(479, 276)",-,-,-,Technical/product issues,-,bar
8,"[[[304 301]]

 [[304 316]]

 [[596 316]]

 [[596 301]]]","(450, 308)",-,-,-,Lack of focus,-,bar
9,"[[[304 333]]

 [[304 348]]

 [[537 348]]

 [[537 333]]]","(420, 340)",-,-,-,Ran out of cash,-,bar
10,"[[[304 365]]

 [[304 380]]

 [[478 380]]

 [[478 365]]]","(391, 372)",-,-,-,Bad location,-,bar
11,"[[[304 397]]

 [[304 412]]

 [[478 412]]

 [[478 397]]]","(391, 404)",-,-,-,Ignore customers,-,bar
12,"[[[304 429]]

 [[304 444]]

 [[420 444]]

 [[420 429]]]","(362, 436)",-,-,-,Failure to pivot,-,bar
13,"[[[304 461]]

 [[304 476]]

 [[420 476]]

 [[420 461]]]","(362, 468)",-,-,-,Hiring mistakes,-,bar
14,"[[[304 493]]

 [[304 508]]

 [[420 508]]

 [[420 493]]]","(362, 500)",-,-,-,Poor marketing,-,bar
15,"[[[304 525]]

 [[304 540]]

 [[361 540]]

 [[361 525]]]","(332, 532)",-,-,-,Burn out,-,bar
16,"[[[304 557]]

 [[304 572]]

 [[361 572]]

 [[361 557]]]","(332, 564)",-,-,-,Lack of passion,-,bar
17,"[[[304 589]]

 [[304 604]]

 [[361 604]]

 [[361 589]]]","(332, 596)",-,-,-,Legal challenges,-,bar
18,"[[[304 621]]

 [[304 637]]

 [[361 637]]

 [[361 621]]]","(332, 629)",-,-,-,Pricing/cost issues,-,bar
