id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[294  78]]

 [[294 348]]

 [[340 348]]

 [[340  78]]]","(317, 213)",-,-,'06,4,-,bar
1,"[[[357  90]]

 [[357 348]]

 [[403 348]]

 [[403  90]]]","(380, 219)",-,-,'06,4,-,bar
2,"[[[230 162]]

 [[230 348]]

 [[277 348]]

 [[277 162]]]","(253, 255)",-,-,'04,4,-,bar
3,"[[[167 195]]

 [[167 348]]

 [[213 348]]

 [[213 195]]]","(190, 271)",-,-,'04,2,-,bar
4,"[[[104 217]]

 [[104 348]]

 [[150 348]]

 [[150 217]]]","(127, 282)",-,-,'02,2,-,bar
5,"[[[ 40 223]]

 [[ 40 348]]

 [[ 87 348]]

 [[ 87 223]]]","(63, 285)",-,-,'02,2,-,bar
6,"[[[610 223]]

 [[610 348]]

 [[657 348]]

 [[657 223]]]","(633, 285)",-,-,'10,2,-,bar
7,"[[[420 245]]

 [[420 348]]

 [[467 348]]

 [[467 245]]]","(443, 296)",-,-,'08,2,-,bar
8,"[[[673 256]]

 [[673 348]]

 [[720 348]]

 [[720 256]]]","(696, 302)",-,-,'12,2,-,bar
9,"[[[547 267]]

 [[547 348]]

 [[593 348]]

 [[593 267]]]","(570, 307)",-,-,'10,2,-,bar
10,"[[[483 317]]

 [[483 348]]

 [[530 348]]

 [[530 317]]]","(506, 332)",-,-,'08,0,-,bar
11,"[[[737 334]]

 [[737 348]]

 [[784 348]]

 [[784 334]]]","(760, 341)",-,-,'12,0,-,bar
12,"[[[800 339]]

 [[800 348]]

 [[847 348]]

 [[847 339]]]","(823, 343)",-,-,'14,0,-,bar
13,"[[[863 350]]

 [[863 387]]

 [[910 387]]

 [[910 350]]]","(886, 368)",-,-,'14,0,-,bar
