id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[190  80]]

 [[190 192]]

 [[211 192]]

 [[211  80]]]","(200, 136)",-,-,'09,2,-,bar
1,"[[[742 155]]

 [[742 192]]

 [[763 192]]

 [[763 155]]]","(752, 173)",-,-,'14,0,-,bar
2,"[[[799 159]]

 [[799 193]]

 [[821 193]]

 [[821 159]]]","(810, 176)",-,-,'14,0,-,bar
3,"[[[887 160]]

 [[887 192]]

 [[908 192]]

 [[908 160]]]","(897, 176)",-,-,'15,0,-,bar
4,"[[[ 45 164]]

 [[ 45 192]]

 [[ 66 192]]

 [[ 66 164]]]","(55, 178)",-,-,'08,0,-,bar
5,"[[[247 194]]

 [[247 197]]

 [[270 197]]

 [[270 194]]]","(258, 195)",-,-,'10,0,-,bar
6,"[[[712 194]]

 [[712 197]]

 [[734 197]]

 [[734 194]]]","(723, 195)",-,-,'14,0,-,bar
7,"[[[770 194]]

 [[770 197]]

 [[792 197]]

 [[792 194]]]","(781, 195)",-,-,'14,0,-,bar
8,"[[[ 74 195]]

 [[ 74 228]]

 [[ 95 228]]

 [[ 95 195]]]","(84, 211)",-,-,'08,0,-,bar
9,"[[[102 195]]

 [[102 219]]

 [[124 219]]

 [[124 195]]]","(113, 207)",-,-,'08,0,-,bar
10,"[[[132 195]]

 [[132 241]]

 [[153 241]]

 [[153 195]]]","(142, 218)",-,-,'09,0,-,bar
11,"[[[161 195]]

 [[161 401]]

 [[182 401]]

 [[182 195]]]","(171, 298)",-,-,'09,0,-,bar
12,"[[[219 195]]

 [[219 210]]

 [[240 210]]

 [[240 195]]]","(229, 202)",-,-,'09,0,-,bar
13,"[[[277 195]]

 [[277 268]]

 [[298 268]]

 [[298 195]]]","(287, 231)",-,-,'10,0,-,bar
14,"[[[306 195]]

 [[306 312]]

 [[327 312]]

 [[327 195]]]","(316, 253)",-,-,'10,0,-,bar
15,"[[[335 195]]

 [[335 343]]

 [[356 343]]

 [[356 195]]]","(345, 269)",-,-,'10,0,-,bar
16,"[[[364 195]]

 [[364 259]]

 [[385 259]]

 [[385 195]]]","(374, 227)",-,-,'11,0,-,bar
17,"[[[393 195]]

 [[393 312]]

 [[415 312]]

 [[415 195]]]","(404, 253)",-,-,'11,0,-,bar
18,"[[[422 195]]

 [[422 259]]

 [[443 259]]

 [[443 195]]]","(432, 227)",-,-,'11,0,-,bar
19,"[[[451 195]]

 [[451 286]]

 [[472 286]]

 [[472 195]]]","(461, 240)",-,-,'11,0,-,bar
20,"[[[480 195]]

 [[480 325]]

 [[501 325]]

 [[501 195]]]","(490, 260)",-,-,'12,0,-,bar
21,"[[[509 195]]

 [[509 237]]

 [[531 237]]

 [[531 195]]]","(520, 216)",-,-,'12,0,-,bar
22,"[[[538 195]]

 [[538 272]]

 [[560 272]]

 [[560 195]]]","(549, 233)",-,-,'12,0,-,bar
23,"[[[567 195]]

 [[567 237]]

 [[589 237]]

 [[589 195]]]","(578, 216)",-,-,'12,0,-,bar
24,"[[[596 195]]

 [[596 237]]

 [[618 237]]

 [[618 195]]]","(607, 216)",-,-,'13,0,-,bar
25,"[[[626 195]]

 [[626 268]]

 [[647 268]]

 [[647 195]]]","(636, 231)",-,-,'13,0,-,bar
26,"[[[654 195]]

 [[654 215]]

 [[676 215]]

 [[676 195]]]","(665, 205)",-,-,'13,0,-,bar
27,"[[[683 195]]

 [[683 210]]

 [[705 210]]

 [[705 195]]]","(694, 202)",-,-,'13,0,-,bar
28,"[[[829 195]]

 [[829 201]]

 [[850 201]]

 [[850 195]]]","(839, 198)",-,-,'15,0,-,bar
