id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[121  44]]

 [[121  60]]

 [[842  60]]

 [[842  44]]]","(481, 52)",-,-,-,Japan,-,bar
1,"[[[121  77]]

 [[121  92]]

 [[600  92]]

 [[600  77]]]","(360, 84)",-,-,-,Greece,-,bar
2,"[[[121 109]]

 [[121 124]]

 [[505 124]]

 [[505 109]]]","(313, 116)",-,-,-,Italy,-,bar
3,"[[[121 141]]

 [[121 156]]

 [[456 156]]

 [[456 141]]]","(288, 148)",-,-,-,Singapore,-,bar
4,"[[[121 173]]

 [[121 188]]

 [[442 188]]

 [[442 173]]]","(281, 180)",-,-,-,US,-,bar
5,"[[[121 205]]

 [[121 220]]

 [[393 220]]

 [[393 205]]]","(257, 212)",-,-,-,UK,-,bar
6,"[[[121 237]]

 [[121 252]]

 [[244 252]]

 [[244 237]]]","(182, 244)",-,-,-,China,-,bar
7,"[[[121 269]]

 [[121 284]]

 [[234 284]]

 [[234 269]]]","(177, 276)",-,-,-,Sweden,-,bar
8,"[[[121 301]]

 [[121 316]]

 [[222 316]]

 [[222 301]]]","(171, 308)",-,-,-,NonIvay,-,bar
9,"[[[121 333]]

 [[121 348]]

 [[217 348]]

 [[217 333]]]","(169, 340)",-,-,-,HK,-,bar
10,"[[[121 365]]

 [[121 381]]

 [[152 381]]

 [[152 365]]]","(136, 373)",-,-,-,Russia,-,bar
