id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[207  32]]

 [[207 192]]

 [[223 192]]

 [[223  32]]]","(215, 112)",-,-,'08,10%,-,bar
1,"[[[230  32]]

 [[230 192]]

 [[245 192]]

 [[245  32]]]","(237, 112)",-,-,'08,10%,-,bar
2,"[[[119  37]]

 [[119 192]]

 [[135 192]]

 [[135  37]]]","(127, 114)",-,-,'07,10%,-,bar
3,"[[[163  42]]

 [[163 192]]

 [[179 192]]

 [[179  42]]]","(171, 117)",-,-,'07,10%,-,bar
4,"[[[ 97  49]]

 [[ 97 192]]

 [[113 192]]

 [[113  49]]]","(105, 120)",-,-,'06,10%,-,bar
5,"[[[185  49]]

 [[185 192]]

 [[201 192]]

 [[201  49]]]","(193, 120)",-,-,'07,10%,-,bar
6,"[[[ 75  51]]

 [[ 75 192]]

 [[ 91 192]]

 [[ 91  51]]]","(83, 121)",-,-,'06,10%,-,bar
7,"[[[141  51]]

 [[141 192]]

 [[157 192]]

 [[157  51]]]","(149, 121)",-,-,'07,10%,-,bar
8,"[[[252  55]]

 [[252 192]]

 [[267 192]]

 [[267  55]]]","(259, 123)",-,-,'08,10%,-,bar
9,"[[[ 53  65]]

 [[ 53 192]]

 [[ 69 192]]

 [[ 69  65]]]","(61, 128)",-,-,'06,5,-,bar
10,"[[[274  81]]

 [[274 192]]

 [[289 192]]

 [[289  81]]]","(281, 136)",-,-,'08,5,-,bar
11,"[[[560 103]]

 [[560 192]]

 [[576 192]]

 [[576 103]]]","(568, 147)",-,-,'12,5,-,bar
12,"[[[472 104]]

 [[472 192]]

 [[488 192]]

 [[488 104]]]","(480, 148)",-,-,'11,5,-,bar
13,"[[[428 106]]

 [[428 192]]

 [[444 192]]

 [[444 106]]]","(436, 149)",-,-,'10,5,-,bar
14,"[[[538 106]]

 [[538 192]]

 [[554 192]]

 [[554 106]]]","(546, 149)",-,-,'11,5,-,bar
15,"[[[583 112]]

 [[583 192]]

 [[599 192]]

 [[599 112]]]","(591, 152)",-,-,'12,5,-,bar
16,"[[[605 120]]

 [[605 192]]

 [[621 192]]

 [[621 120]]]","(613, 156)",-,-,'12,5,-,bar
17,"[[[406 122]]

 [[406 192]]

 [[422 192]]

 [[422 122]]]","(414, 157)",-,-,'10,5,-,bar
18,"[[[450 127]]

 [[450 192]]

 [[466 192]]

 [[466 127]]]","(458, 159)",-,-,'10,5,-,bar
19,"[[[495 136]]

 [[495 192]]

 [[510 192]]

 [[510 136]]]","(502, 164)",-,-,'11,5,-,bar
20,"[[[516 136]]

 [[516 192]]

 [[532 192]]

 [[532 136]]]","(524, 164)",-,-,'11,5,-,bar
21,"[[[627 140]]

 [[627 192]]

 [[643 192]]

 [[643 140]]]","(635, 166)",-,-,'12,5,-,bar
22,"[[[737 158]]

 [[737 192]]

 [[753 192]]

 [[753 158]]]","(745, 175)",-,-,'14,0,-,bar
23,"[[[649 159]]

 [[649 192]]

 [[665 192]]

 [[665 159]]]","(657, 175)",-,-,'13,0,-,bar
24,"[[[715 172]]

 [[715 192]]

 [[731 192]]

 [[731 172]]]","(723, 182)",-,-,'13,0,-,bar
25,"[[[693 174]]

 [[693 192]]

 [[709 192]]

 [[709 174]]]","(701, 183)",-,-,'13,0,-,bar
26,"[[[803 179]]

 [[803 192]]

 [[819 192]]

 [[819 179]]]","(811, 185)",-,-,'14,0,-,bar
27,"[[[671 182]]

 [[671 193]]

 [[688 193]]

 [[688 182]]]","(679, 187)",-,-,'13,0,-,bar
28,"[[[781 182]]

 [[781 193]]

 [[798 193]]

 [[798 182]]]","(789, 187)",-,-,'14,0,-,bar
29,"[[[759 184]]

 [[759 193]]

 [[776 193]]

 [[776 184]]]","(767, 188)",-,-,'14,0,-,bar
30,"[[[825 187]]

 [[825 193]]

 [[842 193]]

 [[842 187]]]","(833, 190)",-,-,'15,0,-,bar
31,"[[[296 195]]

 [[296 215]]

 [[312 215]]

 [[312 195]]]","(304, 205)",-,-,'09,0,-,bar
32,"[[[318 195]]

 [[318 356]]

 [[334 356]]

 [[334 195]]]","(326, 275)",-,-,'09,0,-,bar
33,"[[[340 195]]

 [[340 391]]

 [[356 391]]

 [[356 195]]]","(348, 293)",-,-,'09,0,-,bar
34,"[[[362 195]]

 [[362 345]]

 [[378 345]]

 [[378 195]]]","(370, 270)",-,-,'09,0,-,bar
35,"[[[384 195]]

 [[384 239]]

 [[400 239]]

 [[400 195]]]","(392, 217)",-,-,'10,0,-,bar
36,"[[[848 195]]

 [[848 231]]

 [[864 231]]

 [[864 195]]]","(856, 213)",-,-,'15,0,-,bar
37,"[[[869 195]]

 [[869 274]]

 [[885 274]]

 [[885 195]]]","(877, 234)",-,-,'15,0,-,bar
38,"[[[891 195]]

 [[891 265]]

 [[907 265]]

 [[907 195]]]","(899, 230)",-,-,'15,0,-,bar
