id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[197  45]]

 [[197  60]]

 [[842  60]]

 [[842  45]]]","(519, 52)",-,-,-,$0,-,bar
1,"[[[197  76]]

 [[197  92]]

 [[241  92]]

 [[241  76]]]","(219, 84)",-,-,-,$1,-,bar
2,"[[[197 109]]

 [[197 124]]

 [[311 124]]

 [[311 109]]]","(254, 116)",-,-,-,"$2-$29,999",-,bar
3,"[[[197 141]]

 [[197 156]]

 [[634 156]]

 [[634 141]]]","(415, 148)",-,-,-,"$30,000-$59,999",-,bar
4,"[[[197 173]]

 [[197 188]]

 [[888 188]]

 [[888 173]]]","(542, 180)",-,-,-,"$60,000-$99,999",-,bar
5,"[[[197 205]]

 [[197 220]]

 [[842 220]]

 [[842 205]]]","(519, 212)",-,-,-,"$100,000-$199,999",-,bar
6,"[[[197 237]]

 [[197 252]]

 [[541 252]]

 [[541 237]]]","(369, 244)",-,-,-,"$200,000-$299,999",-,bar
7,"[[[197 269]]

 [[197 285]]

 [[218 285]]

 [[218 269]]]","(207, 277)",-,-,-,"$300,000-$399,999",-,bar
8,"[[[197 301]]

 [[197 317]]

 [[218 317]]

 [[218 301]]]","(207, 309)",-,-,-,"$400,000-$499,999",-,bar
9,"[[[197 333]]

 [[197 349]]

 [[265 349]]

 [[265 333]]]","(231, 341)",-,-,-,"$500,000 or more",-,bar
