id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[861 105]]

 [[861 459]]

 [[909 459]]

 [[909 105]]]","(885, 282)",Michael Kors,[229 178  81],'15,$600 million,-,bar
1,"[[[678 169]]

 [[678 459]]

 [[726 459]]

 [[726 169]]]","(702, 314)",Michael Kors,[229 178  81],'14,400,-,bar
2,"[[[793 266]]

 [[793 459]]

 [[841 459]]

 [[841 266]]]","(817, 362)",Lululemon,[135  87 171],'15,200,-,bar
3,"[[[494 279]]

 [[494 459]]

 [[542 459]]

 [[542 279]]]","(518, 369)",Michael Kors,[229 178  81],'13,200,-,bar
4,"[[[609 319]]

 [[609 459]]

 [[657 459]]

 [[657 319]]]","(633, 389)",Lululemon,[135  87 171],'14,200,-,bar
5,"[[[426 332]]

 [[426 459]]

 [[474 459]]

 [[474 332]]]","(450, 395)",Lululemon,[135  87 171],'13,200,-,bar
6,"[[[310 333]]

 [[310 459]]

 [[358 459]]

 [[358 333]]]","(334, 396)",Michael Kors,[229 178  81],'12,200,-,bar
7,"[[[242 355]]

 [[242 459]]

 [[290 459]]

 [[290 355]]]","(266, 407)",Lululemon,[135  87 171],'12,200,-,bar
8,"[[[127 381]]

 [[127 459]]

 [[175 459]]

 [[175 381]]]","(151, 420)",Michael Kors,[229 178  81],'11,200,-,bar
9,"[[[ 59 390]]

 [[ 59 459]]

 [[107 459]]

 [[107 390]]]","(83, 424)",Lululemon,[135  87 171],'11,200,-,bar
10,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Lululemon,legend
11,"[[[128  11]]

 [[128  21]]

 [[139  21]]

 [[139  11]]]","(133, 16)",-,"(229, 178, 81)",-,-,Michael Kors,legend
