id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[785  32]]

 [[785 459]]

 [[833 459]]

 [[833  32]]]","(809, 245)",-,-,Q3,$40 billion,-,bar
1,"[[[711  75]]

 [[711 459]]

 [[760 459]]

 [[760  75]]]","(735, 267)",-,-,Q2,30,-,bar
2,"[[[639 152]]

 [[639 459]]

 [[687 459]]

 [[687 152]]]","(663, 305)",-,-,2015,30,-,bar
3,"[[[565 154]]

 [[565 459]]

 [[613 459]]

 [[613 154]]]","(589, 306)",-,-,Q4,30,-,bar
4,"[[[859 158]]

 [[859 459]]

 [[907 459]]

 [[907 158]]]","(883, 308)",-,-,Q3,30,-,bar
5,"[[[417 206]]

 [[417 459]]

 [[465 459]]

 [[465 206]]]","(441, 332)",-,-,Q2,20,-,bar
6,"[[[490 229]]

 [[490 459]]

 [[538 459]]

 [[538 229]]]","(514, 344)",-,-,Q3,20,-,bar
7,"[[[344 264]]

 [[344 459]]

 [[392 459]]

 [[392 264]]]","(368, 361)",-,-,2014,20,-,bar
8,"[[[270 298]]

 [[270 459]]

 [[318 459]]

 [[318 298]]]","(294, 378)",-,-,Q4,10,-,bar
9,"[[[196 326]]

 [[196 459]]

 [[244 459]]

 [[244 326]]]","(220, 392)",-,-,Q3,10,-,bar
10,"[[[122 330]]

 [[122 459]]

 [[170 459]]

 [[170 330]]]","(146, 394)",-,-,Q2,10,-,bar
11,"[[[ 49 334]]

 [[ 49 459]]

 [[ 97 459]]

 [[ 97 334]]]","(73, 396)",-,-,2013,10,-,bar
