id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[304  44]]

 [[304  60]]

 [[860  60]]

 [[860  44]]]","(582, 52)",-,-,-,Utilities,-,bar
1,"[[[304  77]]

 [[304  92]]

 [[779  92]]

 [[779  77]]]","(541, 84)",-,-,-,Information,-,bar
2,"[[[304 109]]

 [[304 124]]

 [[738 124]]

 [[738 109]]]","(521, 116)",-,-,-,Retail,-,bar
3,"[[[304 141]]

 [[304 156]]

 [[641 156]]

 [[641 141]]]","(472, 148)",-,-,-,Leisure and hospitality,-,bar
4,"[[[304 173]]

 [[304 188]]

 [[631 188]]

 [[631 173]]]","(467, 180)",-,-,-,Professional/business services,-,bar
5,"[[[304 205]]

 [[304 220]]

 [[624 220]]

 [[624 205]]]","(464, 212)",-,-,-,Construction,-,bar
6,"[[[304 237]]

 [[304 252]]

 [[622 252]]

 [[622 237]]]","(463, 244)",-,-,-,Finance,-,bar
7,"[[[304 269]]

 [[304 284]]

 [[618 284]]

 [[618 269]]]","(461, 276)",-,-,-,Services,-,bar
8,"[[[304 301]]

 [[304 316]]

 [[617 316]]

 [[617 301]]]","(460, 308)",-,-,-,"Trade, transportation, utilities",-,bar
9,"[[[304 333]]

 [[304 348]]

 [[615 348]]

 [[615 333]]]","(459, 340)",-,-,-,Total private,-,bar
10,"[[[304 365]]

 [[304 380]]

 [[611 380]]

 [[611 365]]]","(457, 372)",-,-,-,Manufacturing,-,bar
11,"[[[304 397]]

 [[304 412]]

 [[601 412]]

 [[601 397]]]","(452, 404)",-,-,-,Goods-producing,-,bar
12,"[[[304 429]]

 [[304 444]]

 [[591 444]]

 [[591 429]]]","(447, 436)",-,-,-,Other Services,-,bar
13,"[[[304 461]]

 [[304 476]]

 [[574 476]]

 [[574 461]]]","(439, 468)",-,-,-,Education and health,-,bar
14,"[[[304 493]]

 [[304 508]]

 [[550 508]]

 [[550 493]]]","(427, 500)",-,-,-,Wholesale trade,-,bar
15,"[[[304 525]]

 [[304 540]]

 [[529 540]]

 [[529 525]]]","(416, 532)",-,-,-,Mining and logging,-,bar
16,"[[[304 557]]

 [[304 573]]

 [[420 573]]

 [[420 557]]]","(362, 565)",-,-,-,Transportation/warehousing,-,bar
