id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[414 135]]

 [[414 459]]

 [[462 459]]

 [[462 135]]]","(438, 297)",Hershey's,[135  87 171],'13,6,-,bar
1,"[[[ 36 157]]

 [[ 36 459]]

 [[ 84 459]]

 [[ 84 157]]]","(60, 308)",Hershey's,[135  87 171],'11,6,-,bar
2,"[[[792 195]]

 [[792 459]]

 [[840 459]]

 [[840 195]]]","(816, 327)",Hershey's,[135  87 171],'15,6,-,bar
3,"[[[106 220]]

 [[106 459]]

 [[154 459]]

 [[154 220]]]","(130, 339)",Overall industry,[209  80   0],'11,4,-,bar
4,"[[[225 233]]

 [[225 459]]

 [[273 459]]

 [[273 233]]]","(249, 346)",Hershey's,[135  87 171],'12,4,-,bar
5,"[[[484 264]]

 [[484 459]]

 [[533 459]]

 [[533 264]]]","(508, 361)",Overall industry,[209  80   0],'13,4,-,bar
6,"[[[295 267]]

 [[295 459]]

 [[343 459]]

 [[343 267]]]","(319, 363)",Overall industry,[209  80   0],'12,4,-,bar
7,"[[[862 279]]

 [[862 459]]

 [[910 459]]

 [[910 279]]]","(886, 369)",Overall industry,[209  80   0],'15,4,-,bar
8,"[[[673 309]]

 [[673 459]]

 [[721 459]]

 [[721 309]]]","(697, 384)",Overall industry,[209  80   0],'14,2,-,bar
9,"[[[603 316]]

 [[603 459]]

 [[651 459]]

 [[651 316]]]","(627, 387)",Hershey's,[135  87 171],'14,2,-,bar
10,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Hershey's,legend
11,"[[[120  11]]

 [[120  21]]

 [[131  21]]

 [[131  11]]]","(125, 16)",-,"(229, 178, 81)",-,-,Overall industry,legend
