id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[420  44]]

 [[420  60]]

 [[853  60]]

 [[853  44]]]","(636, 52)",-,-,-,self-taught,-,bar
1,"[[[420  77]]

 [[420  92]]

 [[694  92]]

 [[694  77]]]","(557, 84)",-,-,-,on the job,-,bar
2,"[[[420 109]]

 [[420 124]]

 [[637 124]]

 [[637 109]]]","(528, 116)",-,-,-,3.8. in computer science (CS) or related,-,bar
3,"[[[420 141]]

 [[420 156]]

 [[578 156]]

 [[578 141]]]","(499, 148)",-,-,-,online courses,-,bar
4,"[[[420 173]]

 [[420 188]]

 [[542 188]]

 [[542 173]]]","(481, 180)",-,-,-,MS in CS or related,-,bar
5,"[[[420 205]]

 [[420 220]]

 [[539 220]]

 [[539 205]]]","(479, 212)",-,-,-,some CS coursework,-,bar
6,"[[[420 237]]

 [[420 252]]

 [[471 252]]

 [[471 237]]]","(445, 244)",-,-,-,BA. in CS or related,-,bar
7,"[[[420 269]]

 [[420 284]]

 [[463 284]]

 [[463 269]]]","(441, 276)",-,-,-,industry certification,-,bar
8,"[[[420 301]]

 [[420 316]]

 [[459 316]]

 [[459 301]]]","(439, 308)",-,-,-,fuII-time intensive program (e.g. bootcamps),-,bar
9,"[[[420 333]]

 [[420 348]]

 [[444 348]]

 [[444 333]]]","(432, 340)",-,-,-,part-time program (e.g. night school),-,bar
10,"[[[420 365]]

 [[420 381]]

 [[441 381]]

 [[441 365]]]","(430, 373)",-,-,-,other,-,bar
11,"[[[420 397]]

 [[420 413]]

 [[431 413]]

 [[431 397]]]","(425, 405)",-,-,-,PhD in CS or related,-,bar
12,"[[[420 429]]

 [[420 445]]

 [[425 445]]

 [[425 429]]]","(422, 437)",-,-,-,mentorship program,-,bar
