id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[220  44]]

 [[220  60]]

 [[766  60]]

 [[766  44]]]","(493, 52)",-,-,-,Nintendo DS,-,bar
1,"[[[220  77]]

 [[220  92]]

 [[641  92]]

 [[641  77]]]","(430, 84)",-,-,-,Game Boy,-,bar
2,"[[[220 109]]

 [[220 124]]

 [[580 124]]

 [[580 109]]]","(400, 116)",-,-,-,Wii,-,bar
3,"[[[220 141]]

 [[220 156]]

 [[508 156]]

 [[508 141]]]","(364, 148)",-,-,-,Game Boy Advance,-,bar
4,"[[[220 173]]

 [[220 188]]

 [[439 188]]

 [[439 173]]]","(329, 180)",-,-,-,NES,-,bar
5,"[[[220 205]]

 [[220 220]]

 [[424 220]]

 [[424 205]]]","(322, 212)",-,-,-,Nintendo 3DS,-,bar
6,"[[[220 237]]

 [[220 252]]

 [[393 252]]

 [[393 237]]]","(306, 244)",-,-,-,SNES,-,bar
7,"[[[220 269]]

 [[220 284]]

 [[335 284]]

 [[335 269]]]","(277, 276)",-,-,-,Nintendo 64,-,bar
8,"[[[220 301]]

 [[220 316]]

 [[296 316]]

 [[296 301]]]","(258, 308)",-,-,-,GameCube,-,bar
9,"[[[220 333]]

 [[220 349]]

 [[263 349]]

 [[263 333]]]","(241, 341)",-,-,-,Wii U,-,bar
