id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[849  49]]

 [[849 205]]

 [[865 205]]

 [[865  49]]]","(857, 127)",-,-,'14,4,-,bar
1,"[[[130  52]]

 [[130 205]]

 [[145 205]]

 [[145  52]]]","(137, 128)",-,-,'06,4,-,bar
2,"[[[617  62]]

 [[617 205]]

 [[632 205]]

 [[632  62]]]","(624, 133)",-,-,'12,4,-,bar
3,"[[[828  62]]

 [[828 205]]

 [[843 205]]

 [[843  62]]]","(835, 133)",-,-,'14,4,-,bar
4,"[[[765  65]]

 [[765 205]]

 [[780 205]]

 [[780  65]]]","(772, 135)",-,-,'13,4,-,bar
5,"[[[ 45  71]]

 [[ 45 205]]

 [[ 60 205]]

 [[ 60  71]]]","(52, 138)",-,-,'05,4,-,bar
6,"[[[447  84]]

 [[447 205]]

 [[462 205]]

 [[462  84]]]","(454, 144)",-,-,'10,4,-,bar
7,"[[[490  84]]

 [[490 205]]

 [[505 205]]

 [[505  84]]]","(497, 144)",-,-,'10,4,-,bar
8,"[[[786  97]]

 [[786 205]]

 [[801 205]]

 [[801  97]]]","(793, 151)",-,-,'14,4,-,bar
9,"[[[ 87 100]]

 [[ 87 205]]

 [[102 205]]

 [[102 100]]]","(94, 152)",-,-,'05,4,-,bar
10,"[[[193 106]]

 [[193 205]]

 [[208 205]]

 [[208 106]]]","(200, 155)",-,-,'07,4,-,bar
11,"[[[235 109]]

 [[235 205]]

 [[251 205]]

 [[251 109]]]","(243, 157)",-,-,'07,4,-,bar
12,"[[[574 116]]

 [[574 205]]

 [[589 205]]

 [[589 116]]]","(581, 160)",-,-,'11,2,-,bar
13,"[[[257 122]]

 [[257 205]]

 [[272 205]]

 [[272 122]]]","(264, 163)",-,-,'07,2,-,bar
14,"[[[511 122]]

 [[511 205]]

 [[526 205]]

 [[526 122]]]","(518, 163)",-,-,'10,2,-,bar
15,"[[[723 122]]

 [[723 205]]

 [[738 205]]

 [[738 122]]]","(730, 163)",-,-,'13,2,-,bar
16,"[[[532 128]]

 [[532 205]]

 [[547 205]]

 [[547 128]]]","(539, 166)",-,-,'11,2,-,bar
17,"[[[680 128]]

 [[680 205]]

 [[695 205]]

 [[695 128]]]","(687, 166)",-,-,'12,2,-,bar
18,"[[[109 135]]

 [[109 205]]

 [[124 205]]

 [[124 135]]]","(116, 170)",-,-,'06,2,-,bar
19,"[[[638 138]]

 [[638 205]]

 [[653 205]]

 [[653 138]]]","(645, 171)",-,-,'12,2,-,bar
20,"[[[871 138]]

 [[871 205]]

 [[886 205]]

 [[886 138]]]","(878, 171)",-,-,'15,2,-,bar
21,"[[[ 66 141]]

 [[ 66 205]]

 [[ 81 205]]

 [[ 81 141]]]","(73, 173)",-,-,'05,2,-,bar
22,"[[[320 144]]

 [[320 205]]

 [[335 205]]

 [[335 144]]]","(327, 174)",-,-,'08,2,-,bar
23,"[[[744 151]]

 [[744 205]]

 [[759 205]]

 [[759 151]]]","(751, 178)",-,-,'13,2,-,bar
24,"[[[469 154]]

 [[469 205]]

 [[484 205]]

 [[484 154]]]","(476, 179)",-,-,'10,2,-,bar
25,"[[[659 157]]

 [[659 205]]

 [[674 205]]

 [[674 157]]]","(666, 181)",-,-,'12,2,-,bar
26,"[[[278 163]]

 [[278 205]]

 [[293 205]]

 [[293 163]]]","(285, 184)",-,-,'08,2,-,bar
27,"[[[426 166]]

 [[426 205]]

 [[441 205]]

 [[441 166]]]","(433, 185)",-,-,'09,2,-,bar
28,"[[[151 170]]

 [[151 205]]

 [[166 205]]

 [[166 170]]]","(158, 187)",-,-,'06,2,-,bar
29,"[[[595 182]]

 [[595 205]]

 [[611 205]]

 [[611 182]]]","(603, 193)",-,-,'11,0,-,bar
30,"[[[172 195]]

 [[172 205]]

 [[187 205]]

 [[187 195]]]","(179, 200)",-,-,'06,0,-,bar
31,"[[[214 201]]

 [[214 205]]

 [[230 205]]

 [[230 201]]]","(222, 203)",-,-,'07,0,-,bar
32,"[[[341 207]]

 [[341 265]]

 [[357 265]]

 [[357 207]]]","(349, 236)",-,-,'08,0,-,bar
33,"[[[404 207]]

 [[404 221]]

 [[421 221]]

 [[421 207]]]","(412, 214)",-,-,'09,0,-,bar
34,"[[[807 207]]

 [[807 272]]

 [[823 272]]

 [[823 207]]]","(815, 239)",-,-,'14,0,-,bar
35,"[[[891 207]]

 [[891 212]]

 [[908 212]]

 [[908 207]]]","(899, 209)",-,-,'15,0,-,bar
36,"[[[299 208]]

 [[299 291]]

 [[314 291]]

 [[314 208]]]","(306, 249)",-,-,'08,0,-,bar
37,"[[[363 208]]

 [[363 465]]

 [[378 465]]

 [[378 208]]]","(370, 336)",-,-,'09,0,-,bar
38,"[[[384 208]]

 [[384 376]]

 [[399 376]]

 [[399 208]]]","(391, 292)",-,-,'09,0,-,bar
39,"[[[553 208]]

 [[553 252]]

 [[568 252]]

 [[568 208]]]","(560, 230)",-,-,'11,0,-,bar
