id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[864  35]]

 [[864 459]]

 [[909 459]]

 [[909  35]]]","(886, 247)",-,-,'14,300 million,-,bar
1,"[[[802  70]]

 [[802 459]]

 [[848 459]]

 [[848  70]]]","(825, 264)",-,-,'13,250,-,bar
2,"[[[740  90]]

 [[740 459]]

 [[785 459]]

 [[785  90]]]","(762, 274)",-,-,'12,250,-,bar
3,"[[[678 180]]

 [[678 459]]

 [[724 459]]

 [[724 180]]]","(701, 319)",-,-,'11,200,-,bar
4,"[[[616 275]]

 [[616 459]]

 [[662 459]]

 [[662 275]]]","(639, 367)",-,-,'10,100,-,bar
5,"[[[554 330]]

 [[554 459]]

 [[600 459]]

 [[600 330]]]","(577, 394)",-,-,'09,100,-,bar
6,"[[[492 344]]

 [[492 459]]

 [[538 459]]

 [[538 344]]]","(515, 401)",-,-,'08,100,-,bar
7,"[[[430 366]]

 [[430 459]]

 [[476 459]]

 [[476 366]]]","(453, 412)",-,-,'07,50,-,bar
8,"[[[368 384]]

 [[368 459]]

 [[414 459]]

 [[414 384]]]","(391, 421)",-,-,'06,50,-,bar
9,"[[[307 407]]

 [[307 459]]

 [[352 459]]

 [[352 407]]]","(329, 433)",-,-,'05,50,-,bar
10,"[[[244 444]]

 [[244 459]]

 [[290 459]]

 [[290 444]]]","(267, 451)",-,-,'04,0,-,bar
11,"[[[183 455]]

 [[183 459]]

 [[228 459]]

 [[228 455]]]","(205, 457)",-,-,'03,0,-,bar
12,"[[[ 59 456]]

 [[ 59 459]]

 [[105 459]]

 [[105 456]]]","(82, 457)",-,-,'01,0,-,bar
13,"[[[121 456]]

 [[121 459]]

 [[167 459]]

 [[167 456]]]","(144, 457)",-,-,'02,0,-,bar
