id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[126  40]]

 [[126 205]]

 [[141 205]]

 [[141  40]]]","(133, 122)",-,-,'07,1.570,-,bar
1,"[[[ 60  68]]

 [[ 60 205]]

 [[ 76 205]]

 [[ 76  68]]]","(68, 136)",-,-,'06,1.0,-,bar
2,"[[[169  68]]

 [[169 205]]

 [[185 205]]

 [[185  68]]]","(177, 136)",-,-,'07,1.0,-,bar
3,"[[[410  78]]

 [[410 205]]

 [[426 205]]

 [[426  78]]]","(418, 141)",-,-,'10,1.0,-,bar
4,"[[[695  78]]

 [[695 205]]

 [[710 205]]

 [[710  78]]]","(702, 141)",-,-,'13,1.0,-,bar
5,"[[[148  82]]

 [[148 205]]

 [[163 205]]

 [[163  82]]]","(155, 143)",-,-,'07,1.0,-,bar
6,"[[[235  87]]

 [[235 205]]

 [[251 205]]

 [[251  87]]]","(243, 146)",-,-,'08,1.0,-,bar
7,"[[[104  96]]

 [[104 205]]

 [[119 205]]

 [[119  96]]]","(111, 150)",-,-,'06,1.0,-,bar
8,"[[[ 82  97]]

 [[ 82 205]]

 [[ 98 205]]

 [[ 98  97]]]","(90, 151)",-,-,'06,1.0,-,bar
9,"[[[213 103]]

 [[213 205]]

 [[229 205]]

 [[229 103]]]","(221, 154)",-,-,'08,1.0,-,bar
10,"[[[366 104]]

 [[366 205]]

 [[382 205]]

 [[382 104]]]","(374, 154)",-,-,'09,1.0,-,bar
11,"[[[191 105]]

 [[191 205]]

 [[207 205]]

 [[207 105]]]","(199, 155)",-,-,'07,1.0,-,bar
12,"[[[432 106]]

 [[432 205]]

 [[448 205]]

 [[448 106]]]","(440, 155)",-,-,'10,1.0,-,bar
13,"[[[476 110]]

 [[476 205]]

 [[492 205]]

 [[492 110]]]","(484, 157)",-,-,'11,1.0,-,bar
14,"[[[519 114]]

 [[519 205]]

 [[535 205]]

 [[535 114]]]","(527, 159)",-,-,'11,0.5,-,bar
15,"[[[826 120]]

 [[826 205]]

 [[842 205]]

 [[842 120]]]","(834, 162)",-,-,'15,0.5,-,bar
16,"[[[563 124]]

 [[563 205]]

 [[579 205]]

 [[579 124]]]","(571, 164)",-,-,'12,0.5,-,bar
17,"[[[804 129]]

 [[804 205]]

 [[820 205]]

 [[820 129]]]","(812, 167)",-,-,'14,0.5,-,bar
18,"[[[629 138]]

 [[629 205]]

 [[645 205]]

 [[645 138]]]","(637, 171)",-,-,'12,0.5,-,bar
19,"[[[388 139]]

 [[388 205]]

 [[404 205]]

 [[404 139]]]","(396, 172)",-,-,'10,0.5,-,bar
20,"[[[761 143]]

 [[761 205]]

 [[776 205]]

 [[776 143]]]","(768, 174)",-,-,'14,0.5,-,bar
21,"[[[454 151]]

 [[454 205]]

 [[469 205]]

 [[469 151]]]","(461, 178)",-,-,'10,0.5,-,bar
22,"[[[739 152]]

 [[739 205]]

 [[754 205]]

 [[754 152]]]","(746, 178)",-,-,'14,0.5,-,bar
23,"[[[651 154]]

 [[651 205]]

 [[667 205]]

 [[667 154]]]","(659, 179)",-,-,'13,0.5,-,bar
24,"[[[716 154]]

 [[716 205]]

 [[732 205]]

 [[732 154]]]","(724, 179)",-,-,'13,0.5,-,bar
25,"[[[257 163]]

 [[257 205]]

 [[273 205]]

 [[273 163]]]","(265, 184)",-,-,'08,0.5,-,bar
26,"[[[279 168]]

 [[279 205]]

 [[295 205]]

 [[295 168]]]","(287, 186)",-,-,'08,0.5,-,bar
27,"[[[498 168]]

 [[498 205]]

 [[514 205]]

 [[514 168]]]","(506, 186)",-,-,'11,0.5,-,bar
28,"[[[607 168]]

 [[607 205]]

 [[623 205]]

 [[623 168]]]","(615, 186)",-,-,'12,0.5,-,bar
29,"[[[870 180]]

 [[870 205]]

 [[885 205]]

 [[885 180]]]","(877, 192)",-,-,'15,0,-,bar
30,"[[[782 195]]

 [[782 205]]

 [[798 205]]

 [[798 195]]]","(790, 200)",-,-,'14,0,-,bar
31,"[[[672 203]]

 [[672 206]]

 [[689 206]]

 [[689 203]]]","(680, 204)",-,-,'13,0,-,bar
32,"[[[323 207]]

 [[323 386]]

 [[339 386]]

 [[339 207]]]","(331, 296)",-,-,'09,0,-,bar
33,"[[[344 207]]

 [[344 211]]

 [[361 211]]

 [[361 207]]]","(352, 209)",-,-,'09,0,-,bar
34,"[[[541 207]]

 [[541 232]]

 [[557 232]]

 [[557 207]]]","(549, 219)",-,-,'11,0,-,bar
35,"[[[585 207]]

 [[585 214]]

 [[601 214]]

 [[601 207]]]","(593, 210)",-,-,'12,0,-,bar
36,"[[[848 207]]

 [[848 246]]

 [[864 246]]

 [[864 207]]]","(856, 226)",-,-,'15,0,-,bar
37,"[[[301 208]]

 [[301 452]]

 [[317 452]]

 [[317 208]]]","(309, 330)",-,-,'09,0,-,bar
