id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[414  41]]

 [[414 459]]

 [[465 459]]

 [[465  41]]]","(439, 250)",Airbnb,[229 178  81],3-5,50%,-,bar
1,"[[[470 190]]

 [[470 459]]

 [[521 459]]

 [[521 190]]]","(495, 324)",Hotels,[209  80   0],3-5,30,-,bar
2,"[[[128 255]]

 [[128 459]]

 [[179 459]]

 [[179 255]]]","(153, 357)",Hotels,[209  80   0],1,20,-,bar
3,"[[[299 255]]

 [[299 459]]

 [[350 459]]

 [[350 255]]]","(324, 357)",Hotels,[209  80   0],2,20,-,bar
4,"[[[243 280]]

 [[243 459]]

 [[294 459]]

 [[294 280]]]","(268, 369)",Airbnb,[229 178  81],2,20,-,bar
5,"[[[585 346]]

 [[585 459]]

 [[636 459]]

 [[636 346]]]","(610, 402)",Airbnb,[229 178  81],5-10,10,-,bar
6,"[[[641 363]]

 [[641 459]]

 [[692 459]]

 [[692 363]]]","(666, 411)",Hotels,[209  80   0],5-10,10,-,bar
7,"[[[ 72 404]]

 [[ 72 459]]

 [[123 459]]

 [[123 404]]]","(97, 431)",Airbnb,[229 178  81],1,10,-,bar
8,"[[[756 404]]

 [[756 459]]

 [[807 459]]

 [[807 404]]]","(781, 431)",Airbnb,[229 178  81],10+,10,-,bar
9,"[[[812 412]]

 [[812 459]]

 [[863 459]]

 [[863 412]]]","(837, 435)",Hotels,[209  80   0],10+,10,-,bar
10,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(229, 178, 81)",-,-,Airbnb,legend
11,"[[[ 93  11]]

 [[ 93  21]]

 [[104  21]]

 [[104  11]]]","(98, 16)",-,"(159, 96, 0)",-,-,Hotels,legend
