id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[762  29]]

 [[762 221]]

 [[802 221]]

 [[802  29]]]","(782, 125)",-,-,2010,$300 billion,-,bar
1,"[[[655  50]]

 [[655 221]]

 [[695 221]]

 [[695  50]]]","(675, 135)",-,-,2010,$300 billion,-,bar
2,"[[[602  63]]

 [[602 221]]

 [[641 221]]

 [[641  63]]]","(621, 142)",-,-,2010,$300 billion,-,bar
3,"[[[548 127]]

 [[548 221]]

 [[588 221]]

 [[588 127]]]","(568, 174)",-,-,2010,0,-,bar
4,"[[[280 130]]

 [[280 221]]

 [[320 221]]

 [[320 130]]]","(300, 175)",-,-,2005,0,-,bar
5,"[[[334 153]]

 [[334 221]]

 [[373 221]]

 [[373 153]]]","(353, 187)",-,-,2005,0,-,bar
6,"[[[441 165]]

 [[441 221]]

 [[480 221]]

 [[480 165]]]","(460, 193)",-,-,2005,0,-,bar
7,"[[[226 176]]

 [[226 221]]

 [[266 221]]

 [[266 176]]]","(246, 198)",-,-,2005,0,-,bar
8,"[[[494 182]]

 [[494 221]]

 [[534 221]]

 [[534 182]]]","(514, 201)",-,-,2010,0,-,bar
9,"[[[173 196]]

 [[173 221]]

 [[213 221]]

 [[213 196]]]","(193, 208)",-,-,2000,0,-,bar
10,"[[[119 203]]

 [[119 221]]

 [[159 221]]

 [[159 203]]]","(139, 212)",-,-,2000,0,-,bar
11,"[[[387 216]]

 [[387 221]]

 [[427 221]]

 [[427 216]]]","(407, 218)",-,-,2005,0,-,bar
12,"[[[ 66 224]]

 [[ 66 228]]

 [[105 228]]

 [[105 224]]]","(85, 226)",-,-,2000,0,-,bar
13,"[[[709 224]]

 [[709 302]]

 [[748 302]]

 [[748 224]]]","(728, 263)",-,-,2010,0,-,bar
14,"[[[816 224]]

 [[816 290]]

 [[855 290]]

 [[855 224]]]","(835, 257)",-,-,2010,0,-,bar
15,"[[[869 224]]

 [[869 686]]

 [[909 686]]

 [[909 224]]]","(889, 455)",-,-,2010,0,-,bar
