id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[391  44]]

 [[391  60]]

 [[439  60]]

 [[439  44]]]","(415, 52)",-,-,-,Coke,-,bar
1,"[[[284  77]]

 [[284  92]]

 [[439  92]]

 [[439  77]]]","(361, 84)",-,-,-,Pepsi,-,bar
2,"[[[165 109]]

 [[165 124]]

 [[439 124]]

 [[439 109]]]","(302, 116)",-,-,-,Diet Coke,-,bar
3,"[[[440 140]]

 [[440 157]]

 [[445 157]]

 [[445 140]]]","(442, 148)",-,-,-,Dr. Pepper,-,bar
4,"[[[303 173]]

 [[303 188]]

 [[439 188]]

 [[439 173]]]","(371, 180)",-,-,-,Mt. Dew,-,bar
5,"[[[441 205]]

 [[441 220]]

 [[602 220]]

 [[602 205]]]","(521, 212)",-,-,-,Sprite,-,bar
6,"[[[155 237]]

 [[155 252]]

 [[439 252]]

 [[439 237]]]","(297, 244)",-,-,-,Diet Pepsi,-,bar
7,"[[[441 269]]

 [[441 284]]

 [[848 284]]

 [[848 269]]]","(644, 276)",-,-,-,Fanta,-,bar
8,"[[[205 301]]

 [[205 316]]

 [[439 316]]

 [[439 301]]]","(322, 308)",-,-,-,Diet Mt. Dew,-,bar
9,"[[[441 333]]

 [[441 349]]

 [[464 349]]

 [[464 333]]]","(452, 341)",-,-,-,Coke Zero,-,bar
