id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[141  44]]

 [[141  60]]

 [[781  60]]

 [[781  44]]]","(461, 52)",-,-,-,India,-,bar
1,"[[[141  77]]

 [[141  92]]

 [[757  92]]

 [[757  77]]]","(449, 84)",-,-,-,China,-,bar
2,"[[[141 109]]

 [[141 124]]

 [[741 124]]

 [[741 109]]]","(441, 116)",-,-,-,Indonesia,-,bar
3,"[[[141 141]]

 [[141 156]]

 [[654 156]]

 [[654 141]]]","(397, 148)",-,-,-,South Korea,-,bar
4,"[[[141 173]]

 [[141 188]]

 [[607 188]]

 [[607 173]]]","(374, 180)",-,-,-,KSA,-,bar
5,"[[[141 205]]

 [[141 220]]

 [[583 220]]

 [[583 205]]]","(362, 212)",-,-,-,Australia,-,bar
6,"[[[141 237]]

 [[141 252]]

 [[543 252]]

 [[543 237]]]","(342, 244)",-,-,-,Canada,-,bar
7,"[[[141 269]]

 [[141 284]]

 [[527 284]]

 [[527 269]]]","(334, 276)",-,-,-,Nigeria,-,bar
8,"[[[141 301]]

 [[141 316]]

 [[519 316]]

 [[519 301]]]","(330, 308)",-,-,-,USA,-,bar
9,"[[[141 333]]

 [[141 348]]

 [[464 348]]

 [[464 333]]]","(302, 340)",-,-,-,Mexico,-,bar
10,"[[[141 365]]

 [[141 380]]

 [[456 380]]

 [[456 365]]]","(298, 372)",-,-,-,Germany,-,bar
11,"[[[141 397]]

 [[141 412]]

 [[400 412]]

 [[400 397]]]","(270, 404)",-,-,-,France,-,bar
12,"[[[141 429]]

 [[141 445]]

 [[274 445]]

 [[274 429]]]","(207, 437)",-,-,-,Brazil,-,bar
