id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[613   1]]

 [[613 459]]

 [[661 459]]

 [[661   1]]]","(637, 230)",-,-,Q4,5 million,-,bar
1,"[[[857  38]]

 [[857 459]]

 [[905 459]]

 [[905  38]]]","(881, 248)",-,-,Q2,5 million,-,bar
2,"[[[776  66]]

 [[776 459]]

 [[824 459]]

 [[824  66]]]","(800, 262)",-,-,Q2,4,-,bar
3,"[[[695 118]]

 [[695 459]]

 [[743 459]]

 [[743 118]]]","(719, 288)",-,-,2015,4,-,bar
4,"[[[530 254]]

 [[530 459]]

 [[578 459]]

 [[578 254]]]","(554, 356)",-,-,Q3,2,-,bar
5,"[[[285 291]]

 [[285 459]]

 [[333 459]]

 [[333 291]]]","(309, 375)",-,-,Q4,2,-,bar
6,"[[[449 309]]

 [[449 459]]

 [[497 459]]

 [[497 309]]]","(473, 384)",-,-,Q2,2,-,bar
7,"[[[368 321]]

 [[368 459]]

 [[416 459]]

 [[416 321]]]","(392, 390)",-,-,2014,2,-,bar
8,"[[[203 347]]

 [[203 459]]

 [[251 459]]

 [[251 347]]]","(227, 403)",-,-,Q3,1,-,bar
9,"[[[121 394]]

 [[121 459]]

 [[169 459]]

 [[169 394]]]","(145, 426)",-,-,Q2,1,-,bar
10,"[[[ 41 415]]

 [[ 41 459]]

 [[ 89 459]]

 [[ 89 415]]]","(65, 437)",-,-,2013,1,-,bar
