id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[215  45]]

 [[215  60]]

 [[734  60]]

 [[734  45]]]","(474, 52)",-,-,-,"Delhi, India",-,bar
1,"[[[215  77]]

 [[215  92]]

 [[720  92]]

 [[720  77]]]","(467, 84)",-,-,-,"Patna, India",-,bar
2,"[[[215 109]]

 [[215 124]]

 [[703 124]]

 [[703 109]]]","(459, 116)",-,-,-,"Gwalior, India",-,bar
3,"[[[215 141]]

 [[215 156]]

 [[669 156]]

 [[669 141]]]","(442, 148)",-,-,-,"Raipur, India",-,bar
4,"[[[215 173]]

 [[215 188]]

 [[612 188]]

 [[612 173]]]","(413, 180)",-,-,-,"Karachi, Pakistan",-,bar
5,"[[[215 205]]

 [[215 220]]

 [[591 220]]

 [[591 205]]]","(403, 212)",-,-,-,"Peshwar, Pakistan",-,bar
6,"[[[215 237]]

 [[215 252]]

 [[578 252]]

 [[578 237]]]","(396, 244)",-,-,-,"Rawalpindi, Pakistan",-,bar
7,"[[[215 269]]

 [[215 284]]

 [[560 284]]

 [[560 269]]]","(387, 276)",-,-,-,"Khoramabad, Iran",-,bar
8,"[[[215 301]]

 [[215 316]]

 [[554 316]]

 [[554 301]]]","(384, 308)",-,-,-,"Ahmedabad, India",-,bar
9,"[[[215 333]]

 [[215 348]]

 [[540 348]]

 [[540 333]]]","(377, 340)",-,-,-,"Lucknow, India",-,bar
10,"[[[215 365]]

 [[215 380]]

 [[540 380]]

 [[540 365]]]","(377, 372)",-,-,-,"Firozabad, India",-,bar
