id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[862 105]]

 [[862 459]]

 [[910 459]]

 [[910 105]]]","(886, 282)",Michael Kors,[229 178  81],2015,5,-,bar
1,"[[[673 169]]

 [[673 459]]

 [[721 459]]

 [[721 169]]]","(697, 314)",Michael Kors,[229 178  81],2014,4,-,bar
2,"[[[792 266]]

 [[792 459]]

 [[840 459]]

 [[840 266]]]","(816, 362)",Lululemon,[135  87 171],2015,3,-,bar
3,"[[[484 279]]

 [[484 459]]

 [[532 459]]

 [[532 279]]]","(508, 369)",Michael Kors,[229 178  81],2013,3,-,bar
4,"[[[603 318]]

 [[603 459]]

 [[651 459]]

 [[651 318]]]","(627, 388)",Lululemon,[135  87 171],2014,2,-,bar
5,"[[[414 332]]

 [[414 459]]

 [[462 459]]

 [[462 332]]]","(438, 395)",Lululemon,[135  87 171],2013,2,-,bar
6,"[[[295 333]]

 [[295 459]]

 [[343 459]]

 [[343 333]]]","(319, 396)",Michael Kors,[229 178  81],2012,2,-,bar
7,"[[[225 355]]

 [[225 459]]

 [[273 459]]

 [[273 355]]]","(249, 407)",Lululemon,[135  87 171],2012,2,-,bar
8,"[[[106 381]]

 [[106 459]]

 [[154 459]]

 [[154 381]]]","(130, 420)",Michael Kors,[229 178  81],2011,1,-,bar
9,"[[[ 36 390]]

 [[ 36 459]]

 [[ 84 459]]

 [[ 84 390]]]","(60, 424)",Lululemon,[135  87 171],2011,1,-,bar
10,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Lululemon,legend
11,"[[[128  11]]

 [[128  21]]

 [[139  21]]

 [[139  11]]]","(133, 16)",-,"(229, 178, 81)",-,-,Michael Kors,legend
