id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[759  72]]

 [[759 459]]

 [[807 459]]

 [[807  72]]]","(783, 265)",Aircraft,[209  80   0],2014,"$110,000",-,bar
1,"[[[305  76]]

 [[305 459]]

 [[353 459]]

 [[353  76]]]","(329, 267)",Aircraft,[209  80   0],2012,"$110,000",-,bar
2,"[[[532  79]]

 [[532 459]]

 [[580 459]]

 [[580  79]]]","(556, 269)",Aircraft,[209  80   0],2013,"$110,000",-,bar
3,"[[[ 78 139]]

 [[ 78 459]]

 [[127 459]]

 [[127 139]]]","(102, 299)",Aircraft,[209  80   0],2011,"82,500",-,bar
4,"[[[359 386]]

 [[359 459]]

 [[407 459]]

 [[407 386]]]","(383, 422)",Auto,[229 178  81],2012,"27,500",-,bar
5,"[[[132 387]]

 [[132 459]]

 [[181 459]]

 [[181 387]]]","(156, 423)",Auto,[229 178  81],2011,"27,500",-,bar
6,"[[[187 387]]

 [[187 459]]

 [[235 459]]

 [[235 387]]]","(211, 423)",Professional services,[209  80   0],2011,"27,500",-,bar
7,"[[[586 390]]

 [[586 459]]

 [[635 459]]

 [[635 390]]]","(610, 424)",Auto,[229 178  81],2013,"27,500",-,bar
8,"[[[813 391]]

 [[813 459]]

 [[861 459]]

 [[861 391]]]","(837, 425)",Auto,[229 178  81],2014,"27,500",-,bar
9,"[[[413 405]]

 [[413 459]]

 [[461 459]]

 [[461 405]]]","(437, 432)",Professional services,[209  80   0],2012,"27,500",-,bar
10,"[[[640 405]]

 [[640 459]]

 [[689 459]]

 [[689 405]]]","(664, 432)",Professional services,[209  80   0],2013,"27,500",-,bar
11,"[[[867 409]]

 [[867 459]]

 [[915 459]]

 [[915 409]]]","(891, 434)",Professional services,[209  80   0],2014,0,-,bar
12,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Aircraft,legend
13,"[[[100  11]]

 [[100  21]]

 [[111  21]]

 [[111  11]]]","(105, 16)",-,"(229, 178, 81)",-,-,Auto,legend
14,"[[[173  11]]

 [[173  21]]

 [[184  21]]

 [[184  11]]]","(178, 16)",-,"(92, 60, 112)",-,-,Professional services,legend
