id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[213  75]]

 [[213 370]]

 [[227 370]]

 [[227  75]]]","(220, 222)",-,-,'07,30,-,bar
1,"[[[173  80]]

 [[173 370]]

 [[187 370]]

 [[187  80]]]","(180, 225)",-,-,'06,30,-,bar
2,"[[[333  93]]

 [[333 370]]

 [[347 370]]

 [[347  93]]]","(340, 231)",-,-,'08,30,-,bar
3,"[[[193 108]]

 [[193 370]]

 [[207 370]]

 [[207 108]]]","(200, 239)",-,-,'07,30,-,bar
4,"[[[313 118]]

 [[313 370]]

 [[327 370]]

 [[327 118]]]","(320, 244)",-,-,'08,30,-,bar
5,"[[[233 154]]

 [[233 370]]

 [[247 370]]

 [[247 154]]]","(240, 262)",-,-,'07,20,-,bar
6,"[[[533 154]]

 [[533 370]]

 [[547 370]]

 [[547 154]]]","(540, 262)",-,-,'11,20,-,bar
7,"[[[353 171]]

 [[353 370]]

 [[367 370]]

 [[367 171]]]","(360, 270)",-,-,'09,20,-,bar
8,"[[[513 181]]

 [[513 370]]

 [[527 370]]

 [[527 181]]]","(520, 275)",-,-,'11,20,-,bar
9,"[[[113 182]]

 [[113 370]]

 [[127 370]]

 [[127 182]]]","(120, 276)",-,-,'06,20,-,bar
10,"[[[ 73 211]]

 [[ 73 370]]

 [[ 87 370]]

 [[ 87 211]]]","(80, 290)",-,-,'05,20,-,bar
11,"[[[493 214]]

 [[493 370]]

 [[507 370]]

 [[507 214]]]","(500, 292)",-,-,'10,20,-,bar
12,"[[[293 215]]

 [[293 370]]

 [[307 370]]

 [[307 215]]]","(300, 292)",-,-,'08,20,-,bar
13,"[[[133 218]]

 [[133 370]]

 [[148 370]]

 [[148 218]]]","(140, 294)",-,-,'06,20,-,bar
14,"[[[ 93 230]]

 [[ 93 370]]

 [[107 370]]

 [[107 230]]]","(100, 300)",-,-,'05,20,-,bar
15,"[[[273 247]]

 [[273 370]]

 [[287 370]]

 [[287 247]]]","(280, 308)",-,-,'08,10,-,bar
16,"[[[473 247]]

 [[473 370]]

 [[487 370]]

 [[487 247]]]","(480, 308)",-,-,'10,10,-,bar
17,"[[[593 249]]

 [[593 370]]

 [[607 370]]

 [[607 249]]]","(600, 309)",-,-,'12,10,-,bar
18,"[[[153 255]]

 [[153 370]]

 [[167 370]]

 [[167 255]]]","(160, 312)",-,-,'06,10,-,bar
19,"[[[573 281]]

 [[573 370]]

 [[587 370]]

 [[587 281]]]","(580, 325)",-,-,'11,10,-,bar
20,"[[[553 289]]

 [[553 370]]

 [[567 370]]

 [[567 289]]]","(560, 329)",-,-,'11,10,-,bar
21,"[[[753 294]]

 [[753 370]]

 [[767 370]]

 [[767 294]]]","(760, 332)",-,-,'14,10,-,bar
22,"[[[ 53 303]]

 [[ 53 370]]

 [[ 68 370]]

 [[ 68 303]]]","(60, 336)",-,-,'05,10,-,bar
23,"[[[253 304]]

 [[253 370]]

 [[267 370]]

 [[267 304]]]","(260, 337)",-,-,'07,10,-,bar
24,"[[[693 304]]

 [[693 370]]

 [[708 370]]

 [[708 304]]]","(700, 337)",-,-,'13,10,-,bar
25,"[[[613 307]]

 [[613 370]]

 [[627 370]]

 [[627 307]]]","(620, 338)",-,-,'12,10,-,bar
26,"[[[633 311]]

 [[633 370]]

 [[647 370]]

 [[647 311]]]","(640, 340)",-,-,'12,10,-,bar
27,"[[[373 319]]

 [[373 370]]

 [[388 370]]

 [[388 319]]]","(380, 344)",-,-,'09,10,-,bar
28,"[[[733 337]]

 [[733 370]]

 [[747 370]]

 [[747 337]]]","(740, 353)",-,-,'13,0,-,bar
29,"[[[453 338]]

 [[453 370]]

 [[468 370]]

 [[468 338]]]","(460, 354)",-,-,'10,0,-,bar
30,"[[[873 344]]

 [[873 370]]

 [[887 370]]

 [[887 344]]]","(880, 357)",-,-,'15,0,-,bar
31,"[[[653 345]]

 [[653 370]]

 [[667 370]]

 [[667 345]]]","(660, 357)",-,-,'12,0,-,bar
32,"[[[773 355]]

 [[773 370]]

 [[788 370]]

 [[788 355]]]","(780, 362)",-,-,'14,0,-,bar
33,"[[[433 360]]

 [[433 370]]

 [[447 370]]

 [[447 360]]]","(440, 365)",-,-,'10,0,-,bar
34,"[[[833 364]]

 [[833 370]]

 [[847 370]]

 [[847 364]]]","(840, 367)",-,-,'15,0,-,bar
35,"[[[813 367]]

 [[813 370]]

 [[827 370]]

 [[827 367]]]","(820, 368)",-,-,'14,0,-,bar
36,"[[[673 372]]

 [[673 394]]

 [[688 394]]

 [[688 372]]]","(680, 383)",-,-,'13,0,-,bar
37,"[[[712 372]]

 [[712 375]]

 [[728 375]]

 [[728 372]]]","(720, 373)",-,-,'13,0,-,bar
38,"[[[792 372]]

 [[792 379]]

 [[808 379]]

 [[808 372]]]","(800, 375)",-,-,'14,0,-,bar
39,"[[[853 372]]

 [[853 379]]

 [[868 379]]

 [[868 372]]]","(860, 375)",-,-,'15,0,-,bar
40,"[[[893 372]]

 [[893 390]]

 [[907 390]]

 [[907 372]]]","(900, 381)",-,-,'15,0,-,bar
