id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[ 37  90]]

 [[ 37 418]]

 [[ 85 418]]

 [[ 85  90]]]","(61, 254)",-,-,Q2,18 million,-,bar
1,"[[[ 89  91]]

 [[ 89 417]]

 [[136 417]]

 [[136  91]]]","(112, 254)","New MAUs, excluding SMS-only users",[229 178  81],Q2,18 million,-,bar
2,"[[[429 132]]

 [[429 417]]

 [[476 417]]

 [[476 132]]]","(452, 274)",-,-,2015,13,-,bar
3,"[[[167 152]]

 [[167 418]]

 [[214 418]]

 [[214 152]]]","(190, 285)",-,-,Q3,13,-,bar
4,"[[[219 152]]

 [[219 417]]

 [[266 417]]

 [[266 152]]]","(242, 284)","New MAUs, excluding SMS-only users",[229 178  81],Q3,13,-,bar
5,"[[[609 255]]

 [[609 417]]

 [[656 417]]

 [[656 255]]]","(632, 336)","New MAUs, excluding SMS-only users",[229 178  81],Q2,8,-,bar
6,"[[[350 317]]

 [[350 417]]

 [[397 417]]

 [[397 317]]]","(373, 367)","New MAUs, excluding SMS-only users",[229 178  81],Q4,3,-,bar
7,"[[[298 338]]

 [[298 417]]

 [[345 417]]

 [[345 338]]]","(321, 377)",-,-,Q4,3,-,bar
8,"[[[738 338]]

 [[738 417]]

 [[785 417]]

 [[785 338]]]","(761, 377)","New MAUs, excluding SMS-only users",[229 178  81],Q3,3,-,bar
9,"[[[686 358]]

 [[686 418]]

 [[734 418]]

 [[734 358]]]","(710, 388)",-,-,Q3,3,-,bar
10,"[[[557 379]]

 [[557 417]]

 [[604 417]]

 [[604 379]]]","(580, 398)",-,-,Q2,3,-,bar
11,"[[[817 420]]

 [[817 459]]

 [[865 459]]

 [[865 420]]]","(841, 439)",-,-,Q3,0,-,bar
12,"[[[370  11]]

 [[370  21]]

 [[381  21]]

 [[381  11]]]","(375, 16)",-,"(229, 178, 81)",-,-,"New MAUs, excluding SMS-only users",legend
13,"[[[481  91]]

 [[481 417]]

 [[528 417]]

 [[528  91]]]","(504, 254)",-,"(229, 178, 81)",-,-,"New MAUs, including SMS-only users",legend
