id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[866  17]]

 [[866 459]]

 [[910 459]]

 [[910  17]]]","(888, 238)",-,-,'14,12 billion,-,bar
1,"[[[808  76]]

 [[808 459]]

 [[851 459]]

 [[851  76]]]","(829, 267)",-,-,'13,10,-,bar
2,"[[[749 139]]

 [[749 459]]

 [[793 459]]

 [[793 139]]]","(771, 299)",-,-,'12,8,-,bar
3,"[[[691 169]]

 [[691 459]]

 [[734 459]]

 [[734 169]]]","(712, 314)",-,-,'11,8,-,bar
4,"[[[632 235]]

 [[632 459]]

 [[676 459]]

 [[676 235]]]","(654, 347)",-,-,'10,6,-,bar
5,"[[[515 313]]

 [[515 459]]

 [[559 459]]

 [[559 313]]]","(537, 386)",-,-,'08,4,-,bar
6,"[[[574 317]]

 [[574 459]]

 [[617 459]]

 [[617 317]]]","(595, 388)",-,-,'09,4,-,bar
7,"[[[457 354]]

 [[457 459]]

 [[500 459]]

 [[500 354]]]","(478, 406)",-,-,'07,2,-,bar
8,"[[[399 369]]

 [[399 459]]

 [[442 459]]

 [[442 369]]]","(420, 414)",-,-,'06,2,-,bar
9,"[[[340 399]]

 [[340 459]]

 [[383 459]]

 [[383 399]]]","(361, 429)",-,-,'05,2,-,bar
10,"[[[281 413]]

 [[281 459]]

 [[325 459]]

 [[325 413]]]","(303, 436)",-,-,'04,2,-,bar
11,"[[[223 432]]

 [[223 459]]

 [[267 459]]

 [[267 432]]]","(245, 445)",-,-,'03,0,-,bar
12,"[[[165 445]]

 [[165 459]]

 [[208 459]]

 [[208 445]]]","(186, 452)",-,-,'02,0,-,bar
13,"[[[106 446]]

 [[106 459]]

 [[150 459]]

 [[150 446]]]","(128, 452)",-,-,'01,0,-,bar
14,"[[[ 48 448]]

 [[ 48 459]]

 [[ 91 459]]

 [[ 91 448]]]","(69, 453)",-,-,'00,0,-,bar
