id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[220  44]]

 [[220  60]]

 [[873  60]]

 [[873  44]]]","(546, 52)",-,-,-,United States,-,bar
1,"[[[220  77]]

 [[220  92]]

 [[461  92]]

 [[461  77]]]","(340, 84)",-,-,-,United Arab Emirates,-,bar
2,"[[[220 109]]

 [[220 124]]

 [[335 124]]

 [[335 109]]]","(277, 116)",-,-,-,United Kingdom,-,bar
3,"[[[220 141]]

 [[220 156]]

 [[299 156]]

 [[299 141]]]","(259, 148)",-,-,-,Australia,-,bar
4,"[[[220 173]]

 [[220 188]]

 [[292 188]]

 [[292 173]]]","(256, 180)",-,-,-,Canada,-,bar
5,"[[[220 205]]

 [[220 220]]

 [[288 220]]

 [[288 205]]]","(254, 212)",-,-,-,Singapore,-,bar
6,"[[[220 237]]

 [[220 252]]

 [[269 252]]

 [[269 237]]]","(244, 244)",-,-,-,Saudi Arabia,-,bar
7,"[[[220 269]]

 [[220 284]]

 [[262 284]]

 [[262 269]]]","(241, 276)",-,-,-,Qatar,-,bar
8,"[[[220 301]]

 [[220 317]]

 [[257 317]]

 [[257 301]]]","(238, 309)",-,-,-,Germany,-,bar
9,"[[[220 333]]

 [[220 349]]

 [[240 349]]

 [[240 333]]]","(230, 341)",-,-,-,Malaysia,-,bar
10,"[[[220 365]]

 [[220 381]]

 [[575 381]]

 [[575 365]]]","(397, 373)",-,-,-,Other,-,bar
