id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[141  44]]

 [[141  60]]

 [[689  60]]

 [[689  44]]]","(415, 52)",-,-,-,South Africa,-,bar
1,"[[[141  77]]

 [[141  92]]

 [[442  92]]

 [[442  77]]]","(291, 84)",-,-,-,Nigeria,-,bar
2,"[[[141 109]]

 [[141 124]]

 [[277 124]]

 [[277 109]]]","(209, 116)",-,-,-,Mauritius,-,bar
3,"[[[141 141]]

 [[141 156]]

 [[259 156]]

 [[259 141]]]","(200, 148)",-,-,-,Zimbabwe,-,bar
4,"[[[141 173]]

 [[141 188]]

 [[229 188]]

 [[229 173]]]","(185, 180)",-,-,-,Kenya,-,bar
5,"[[[141 205]]

 [[141 220]]

 [[198 220]]

 [[198 205]]]","(169, 212)",-,-,-,Cote d'Ivoire,-,bar
6,"[[[141 237]]

 [[141 252]]

 [[193 252]]

 [[193 237]]]","(167, 244)",-,-,-,Ghana,-,bar
7,"[[[141 269]]

 [[141 284]]

 [[177 284]]

 [[177 269]]]","(159, 276)",-,-,-,Botswana,-,bar
8,"[[[141 301]]

 [[141 316]]

 [[171 316]]

 [[171 301]]]","(156, 308)",-,-,-,Zambia,-,bar
9,"[[[140 333]]

 [[140 349]]

 [[166 349]]

 [[166 333]]]","(153, 341)",-,-,-,Tanzania,-,bar
10,"[[[141 365]]

 [[141 380]]

 [[161 380]]

 [[161 365]]]","(151, 372)",-,-,-,Malawi,-,bar
11,"[[[141 397]]

 [[141 413]]

 [[155 413]]

 [[155 397]]]","(148, 405)",-,-,-,Uganda,-,bar
12,"[[[140 429]]

 [[140 445]]

 [[150 445]]

 [[150 429]]]","(145, 437)",-,-,-,Namibia,-,bar
13,"[[[141 461]]

 [[141 477]]

 [[147 477]]

 [[147 461]]]","(144, 469)",-,-,-,Swaziland,-,bar
