id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[538  29]]

 [[538 205]]

 [[554 205]]

 [[554  29]]]","(546, 117)",-,-,'11,12%,-,bar
1,"[[[340  95]]

 [[340 205]]

 [[356 205]]

 [[356  95]]]","(348, 150)",-,-,'09,8,-,bar
2,"[[[384  96]]

 [[384 205]]

 [[400 205]]

 [[400  96]]]","(392, 150)",-,-,'10,8,-,bar
3,"[[[406 111]]

 [[406 205]]

 [[422 205]]

 [[422 111]]]","(414, 158)",-,-,'10,8,-,bar
4,"[[[450 112]]

 [[450 205]]

 [[466 205]]

 [[466 112]]]","(458, 158)",-,-,'10,4,-,bar
5,"[[[671 123]]

 [[671 205]]

 [[687 205]]

 [[687 123]]]","(679, 164)",-,-,'13,4,-,bar
6,"[[[119 125]]

 [[119 205]]

 [[135 205]]

 [[135 125]]]","(127, 165)",-,-,'07,4,-,bar
7,"[[[759 136]]

 [[759 205]]

 [[775 205]]

 [[775 136]]]","(767, 170)",-,-,'14,4,-,bar
8,"[[[848 136]]

 [[848 205]]

 [[863 205]]

 [[863 136]]]","(855, 170)",-,-,'15,4,-,bar
9,"[[[428 137]]

 [[428 205]]

 [[444 205]]

 [[444 137]]]","(436, 171)",-,-,'10,4,-,bar
10,"[[[583 141]]

 [[583 205]]

 [[599 205]]

 [[599 141]]]","(591, 173)",-,-,'12,4,-,bar
11,"[[[142 144]]

 [[142 205]]

 [[157 205]]

 [[157 144]]]","(149, 174)",-,-,'07,4,-,bar
12,"[[[207 153]]

 [[207 205]]

 [[223 205]]

 [[223 153]]]","(215, 179)",-,-,'08,4,-,bar
13,"[[[230 165]]

 [[230 205]]

 [[246 205]]

 [[246 165]]]","(238, 185)",-,-,'08,4,-,bar
14,"[[[715 168]]

 [[715 205]]

 [[731 205]]

 [[731 168]]]","(723, 186)",-,-,'13,4,-,bar
15,"[[[693 171]]

 [[693 205]]

 [[709 205]]

 [[709 171]]]","(701, 188)",-,-,'13,4,-,bar
16,"[[[ 53 180]]

 [[ 53 205]]

 [[ 69 205]]

 [[ 69 180]]]","(61, 192)",-,-,'06,0,-,bar
17,"[[[ 75 180]]

 [[ 75 205]]

 [[ 91 205]]

 [[ 91 180]]]","(83, 192)",-,-,'06,0,-,bar
18,"[[[825 187]]

 [[825 206]]

 [[842 206]]

 [[842 187]]]","(833, 196)",-,-,'15,0,-,bar
19,"[[[560 194]]

 [[560 205]]

 [[577 205]]

 [[577 194]]]","(568, 199)",-,-,'12,0,-,bar
20,"[[[163 197]]

 [[163 205]]

 [[179 205]]

 [[179 197]]]","(171, 201)",-,-,'07,0,-,bar
21,"[[[361 203]]

 [[361 206]]

 [[378 206]]

 [[378 203]]]","(369, 204)",-,-,'09,0,-,bar
22,"[[[ 97 207]]

 [[ 97 210]]

 [[113 210]]

 [[113 207]]]","(105, 208)",-,-,'06,0,-,bar
23,"[[[185 207]]

 [[185 230]]

 [[202 230]]

 [[202 207]]]","(193, 218)",-,-,'07,0,-,bar
24,"[[[296 207]]

 [[296 404]]

 [[312 404]]

 [[312 207]]]","(304, 305)",-,-,'09,0,-,bar
25,"[[[318 207]]

 [[318 444]]

 [[334 444]]

 [[334 207]]]","(326, 325)",-,-,'09,0,-,bar
26,"[[[626 207]]

 [[626 229]]

 [[643 229]]

 [[643 207]]]","(634, 218)",-,-,'12,0,-,bar
27,"[[[648 207]]

 [[648 214]]

 [[665 214]]

 [[665 207]]]","(656, 210)",-,-,'13,0,-,bar
28,"[[[737 207]]

 [[737 219]]

 [[753 219]]

 [[753 207]]]","(745, 213)",-,-,'14,0,-,bar
29,"[[[781 207]]

 [[781 326]]

 [[797 326]]

 [[797 207]]]","(789, 266)",-,-,'14,0,-,bar
30,"[[[803 207]]

 [[803 223]]

 [[820 223]]

 [[820 207]]]","(811, 215)",-,-,'14,0,-,bar
31,"[[[869 207]]

 [[869 217]]

 [[886 217]]

 [[886 207]]]","(877, 212)",-,-,'15,0,-,bar
32,"[[[891 207]]

 [[891 218]]

 [[908 218]]

 [[908 207]]]","(899, 212)",-,-,'15,0,-,bar
33,"[[[252 208]]

 [[252 277]]

 [[268 277]]

 [[268 208]]]","(260, 242)",-,-,'08,0,-,bar
34,"[[[274 208]]

 [[274 271]]

 [[290 271]]

 [[290 208]]]","(282, 239)",-,-,'08,0,-,bar
35,"[[[472 208]]

 [[472 238]]

 [[488 238]]

 [[488 208]]]","(480, 223)",-,-,'11,0,-,bar
36,"[[[495 208]]

 [[495 322]]

 [[510 322]]

 [[510 208]]]","(502, 265)",-,-,'11,0,-,bar
37,"[[[516 208]]

 [[516 247]]

 [[532 247]]

 [[532 208]]]","(524, 227)",-,-,'11,0,-,bar
38,"[[[605 208]]

 [[605 238]]

 [[621 238]]

 [[621 208]]]","(613, 223)",-,-,'12,0,-,bar
