id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[413  44]]

 [[413 370]]

 [[428 370]]

 [[428  44]]]","(420, 207)",-,-,'10,8%,-,bar
1,"[[[391  50]]

 [[391 370]]

 [[407 370]]

 [[407  50]]]","(399, 210)",-,-,'10,8%,-,bar
2,"[[[195  91]]

 [[195 370]]

 [[211 370]]

 [[211  91]]]","(203, 230)",-,-,'08,6,-,bar
3,"[[[ 43  94]]

 [[ 43 370]]

 [[ 59 370]]

 [[ 59  94]]]","(51, 232)",-,-,'06,6,-,bar
4,"[[[456 106]]

 [[456 370]]

 [[472 370]]

 [[472 106]]]","(464, 238)",-,-,'11,6,-,bar
5,"[[[151 124]]

 [[151 370]]

 [[167 370]]

 [[167 124]]]","(159, 247)",-,-,'07,6,-,bar
6,"[[[217 128]]

 [[217 370]]

 [[233 370]]

 [[233 128]]]","(225, 249)",-,-,'08,6,-,bar
7,"[[[434 132]]

 [[434 370]]

 [[450 370]]

 [[450 132]]]","(442, 251)",-,-,'10,6,-,bar
8,"[[[173 146]]

 [[173 370]]

 [[189 370]]

 [[189 146]]]","(181, 258)",-,-,'07,6,-,bar
9,"[[[ 86 148]]

 [[ 86 370]]

 [[102 370]]

 [[102 148]]]","(94, 259)",-,-,'06,6,-,bar
10,"[[[478 153]]

 [[478 370]]

 [[494 370]]

 [[494 153]]]","(486, 261)",-,-,'11,4,-,bar
11,"[[[369 158]]

 [[369 370]]

 [[385 370]]

 [[385 158]]]","(377, 264)",-,-,'10,4,-,bar
12,"[[[108 161]]

 [[108 370]]

 [[124 370]]

 [[124 161]]]","(116, 265)",-,-,'07,4,-,bar
13,"[[[130 162]]

 [[130 370]]

 [[146 370]]

 [[146 162]]]","(138, 266)",-,-,'07,4,-,bar
14,"[[[ 64 163]]

 [[ 64 370]]

 [[ 80 370]]

 [[ 80 163]]]","(72, 266)",-,-,'06,4,-,bar
15,"[[[239 191]]

 [[239 370]]

 [[254 370]]

 [[254 191]]]","(246, 280)",-,-,'08,4,-,bar
16,"[[[740 198]]

 [[740 370]]

 [[755 370]]

 [[755 198]]]","(747, 284)",-,-,'14,4,-,bar
17,"[[[260 201]]

 [[260 370]]

 [[276 370]]

 [[276 201]]]","(268, 285)",-,-,'08,4,-,bar
18,"[[[500 213]]

 [[500 370]]

 [[515 370]]

 [[515 213]]]","(507, 291)",-,-,'11,4,-,bar
19,"[[[718 218]]

 [[718 370]]

 [[733 370]]

 [[733 218]]]","(725, 294)",-,-,'14,4,-,bar
20,"[[[761 222]]

 [[761 370]]

 [[777 370]]

 [[777 222]]]","(769, 296)",-,-,'14,4,-,bar
21,"[[[521 226]]

 [[521 370]]

 [[537 370]]

 [[537 226]]]","(529, 298)",-,-,'11,4,-,bar
22,"[[[783 226]]

 [[783 370]]

 [[798 370]]

 [[798 226]]]","(790, 298)",-,-,'14,4,-,bar
23,"[[[696 229]]

 [[696 370]]

 [[711 370]]

 [[711 229]]]","(703, 299)",-,-,'13,4,-,bar
24,"[[[543 239]]

 [[543 370]]

 [[559 370]]

 [[559 239]]]","(551, 304)",-,-,'12,2,-,bar
25,"[[[892 240]]

 [[892 370]]

 [[907 370]]

 [[907 240]]]","(899, 305)",-,-,'15,2,-,bar
26,"[[[674 253]]

 [[674 370]]

 [[690 370]]

 [[690 253]]]","(682, 311)",-,-,'13,2,-,bar
27,"[[[870 254]]

 [[870 370]]

 [[885 370]]

 [[885 254]]]","(877, 312)",-,-,'15,2,-,bar
28,"[[[805 255]]

 [[805 370]]

 [[820 370]]

 [[820 255]]]","(812, 312)",-,-,'15,2,-,bar
29,"[[[565 262]]

 [[565 370]]

 [[581 370]]

 [[581 262]]]","(573, 316)",-,-,'12,2,-,bar
30,"[[[827 262]]

 [[827 370]]

 [[842 370]]

 [[842 262]]]","(834, 316)",-,-,'15,2,-,bar
31,"[[[587 265]]

 [[587 370]]

 [[603 370]]

 [[603 265]]]","(595, 317)",-,-,'12,2,-,bar
32,"[[[848 275]]

 [[848 370]]

 [[864 370]]

 [[864 275]]]","(856, 322)",-,-,'15,2,-,bar
33,"[[[631 276]]

 [[631 370]]

 [[646 370]]

 [[646 276]]]","(638, 323)",-,-,'13,2,-,bar
34,"[[[609 279]]

 [[609 370]]

 [[624 370]]

 [[624 279]]]","(616, 324)",-,-,'12,2,-,bar
35,"[[[653 279]]

 [[653 370]]

 [[668 370]]

 [[668 279]]]","(660, 324)",-,-,'13,2,-,bar
36,"[[[347 333]]

 [[347 370]]

 [[363 370]]

 [[363 333]]]","(355, 351)",-,-,'09,0,-,bar
37,"[[[282 372]]

 [[282 443]]

 [[298 443]]

 [[298 372]]]","(290, 407)",-,-,'09,0,-,bar
38,"[[[304 372]]

 [[304 456]]

 [[320 456]]

 [[320 372]]]","(312, 414)",-,-,'09,0,-,bar
39,"[[[326 373]]

 [[326 421]]

 [[341 421]]

 [[341 373]]]","(333, 397)",-,-,'09,0,-,bar
