id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[755  58]]

 [[755 459]]

 [[779 459]]

 [[779  58]]]","(767, 258)",-,-,'10,30 cents per pound,-,bar
1,"[[[723 128]]

 [[723 459]]

 [[747 459]]

 [[747 128]]]","(735, 293)",-,-,'10,24,-,bar
2,"[[[788 140]]

 [[788 459]]

 [[811 459]]

 [[811 140]]]","(799, 299)",-,-,'10,24,-,bar
3,"[[[691 196]]

 [[691 459]]

 [[715 459]]

 [[715 196]]]","(703, 327)",-,-,'10,18,-,bar
4,"[[[820 203]]

 [[820 459]]

 [[844 459]]

 [[844 203]]]","(832, 331)",-,-,'15,18,-,bar
5,"[[[852 219]]

 [[852 459]]

 [[876 459]]

 [[876 219]]]","(864, 339)",-,-,'15,18,-,bar
6,"[[[595 245]]

 [[595 459]]

 [[618 459]]

 [[618 245]]]","(606, 352)",-,-,'05,12,-,bar
7,"[[[884 267]]

 [[884 459]]

 [[908 459]]

 [[908 267]]]","(896, 363)",-,-,'15,12,-,bar
8,"[[[ 47 272]]

 [[ 47 459]]

 [[ 71 459]]

 [[ 71 272]]]","(59, 365)",-,-,'90,12,-,bar
9,"[[[ 79 276]]

 [[ 79 459]]

 [[103 459]]

 [[103 276]]]","(91, 367)",-,-,'90,12,-,bar
10,"[[[208 281]]

 [[208 459]]

 [[232 459]]

 [[232 281]]]","(220, 370)",-,-,'95,12,-,bar
11,"[[[240 282]]

 [[240 459]]

 [[264 459]]

 [[264 282]]]","(252, 370)",-,-,'95,12,-,bar
12,"[[[659 282]]

 [[659 459]]

 [[683 459]]

 [[683 282]]]","(671, 370)",-,-,'10,12,-,bar
13,"[[[272 292]]

 [[272 459]]

 [[296 459]]

 [[296 292]]]","(284, 375)",-,-,'95,12,-,bar
14,"[[[305 293]]

 [[305 459]]

 [[328 459]]

 [[328 293]]]","(316, 376)",-,-,'95,12,-,bar
15,"[[[176 310]]

 [[176 459]]

 [[200 459]]

 [[200 310]]]","(188, 384)",-,-,'95,12,-,bar
16,"[[[562 313]]

 [[562 459]]

 [[586 459]]

 [[586 313]]]","(574, 386)",-,-,'05,12,-,bar
17,"[[[627 315]]

 [[627 459]]

 [[650 459]]

 [[650 315]]]","(638, 387)",-,-,'05,12,-,bar
18,"[[[144 328]]

 [[144 459]]

 [[167 459]]

 [[167 328]]]","(155, 393)",-,-,'90,6,-,bar
19,"[[[112 331]]

 [[112 459]]

 [[135 459]]

 [[135 331]]]","(123, 395)",-,-,'90,6,-,bar
20,"[[[337 331]]

 [[337 459]]

 [[361 459]]

 [[361 331]]]","(349, 395)",-,-,'00,6,-,bar
21,"[[[434 338]]

 [[434 459]]

 [[457 459]]

 [[457 338]]]","(445, 398)",-,-,'00,6,-,bar
22,"[[[401 341]]

 [[401 459]]

 [[425 459]]

 [[425 341]]]","(413, 400)",-,-,'00,6,-,bar
23,"[[[530 352]]

 [[530 459]]

 [[554 459]]

 [[554 352]]]","(542, 405)",-,-,'05,6,-,bar
24,"[[[498 361]]

 [[498 459]]

 [[522 459]]

 [[522 361]]]","(510, 410)",-,-,'05,6,-,bar
25,"[[[466 366]]

 [[466 459]]

 [[489 459]]

 [[489 366]]]","(477, 412)",-,-,'00,6,-,bar
26,"[[[369 370]]

 [[369 459]]

 [[393 459]]

 [[393 370]]]","(381, 414)",-,-,'00,6,-,bar
