id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[589  71]]

 [[589 237]]

 [[637 237]]

 [[637  71]]]","(613, 154)",-,-,'13,10%,-,bar
1,"[[[412 166]]

 [[412 237]]

 [[460 237]]

 [[460 166]]]","(436, 201)",-,-,'11,5,-,bar
2,"[[[678 169]]

 [[678 237]]

 [[726 237]]

 [[726 169]]]","(702, 203)",-,-,'14,5,-,bar
3,"[[[766 200]]

 [[766 237]]

 [[814 237]]

 [[814 200]]]","(790, 218)",-,-,'15,0,-,bar
4,"[[[ 57 239]]

 [[ 57 248]]

 [[106 248]]

 [[106 239]]]","(81, 243)",-,-,'07,0,-,bar
5,"[[[146 239]]

 [[146 262]]

 [[195 262]]

 [[195 239]]]","(170, 250)",-,-,'08,0,-,bar
6,"[[[235 239]]

 [[235 411]]

 [[283 411]]

 [[283 239]]]","(259, 325)",-,-,'09,0,-,bar
7,"[[[323 239]]

 [[323 287]]

 [[372 287]]

 [[372 239]]]","(347, 263)",-,-,'10,0,-,bar
8,"[[[500 239]]

 [[500 254]]

 [[549 254]]

 [[549 239]]]","(524, 246)",-,-,'12,0,-,bar
9,"[[[855 239]]

 [[855 323]]

 [[903 323]]

 [[903 239]]]","(879, 281)",-,-,'16,0,-,bar
