id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[292  44]]

 [[292  60]]

 [[829  60]]

 [[829  44]]]","(560, 52)",-,-,-,Software engineer,-,bar
1,"[[[292  77]]

 [[292  92]]

 [[514  92]]

 [[514  77]]]","(403, 84)",-,-,-,Developer,-,bar
2,"[[[292 109]]

 [[292 124]]

 [[477 124]]

 [[477 109]]]","(384, 116)",-,-,-,Web developer,-,bar
3,"[[[292 141]]

 [[292 156]]

 [[434 156]]

 [[434 141]]]","(363, 148)",-,-,-,Software developer,-,bar
4,"[[[292 173]]

 [[292 188]]

 [[402 188]]

 [[402 173]]]","(347, 180)",-,-,-,Front-end developer,-,bar
5,"[[[292 205]]

 [[292 220]]

 [[402 220]]

 [[402 205]]]","(347, 212)",-,-,-,Junior developer,-,bar
6,"[[[292 237]]

 [[292 252]]

 [[354 252]]

 [[354 237]]]","(323, 244)",-,-,-,FulI-stack developer,-,bar
7,"[[[292 269]]

 [[292 284]]

 [[344 284]]

 [[344 269]]]","(318, 276)",-,-,-,Teacher assistant,-,bar
8,"[[[292 301]]

 [[292 316]]

 [[338 316]]

 [[338 301]]]","(315, 308)",-,-,-,Associate software developer,-,bar
9,"[[[292 333]]

 [[292 349]]

 [[328 349]]

 [[328 333]]]","(310, 341)",-,-,-,Intern,-,bar
