id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[857   1]]

 [[857 311]]

 [[905 311]]

 [[905   1]]]","(881, 156)",-,-,Nov.,40,-,bar
1,"[[[ 56  10]]

 [[ 56 311]]

 [[104 311]]

 [[104  10]]]","(80, 160)",-,-,'15,40,-,bar
2,"[[[771  62]]

 [[771 311]]

 [[819 311]]

 [[819  62]]]","(795, 186)",-,-,Oct.,30,-,bar
3,"[[[137  84]]

 [[137 311]]

 [[185 311]]

 [[185  84]]]","(161, 197)",-,-,Feb.,30,-,bar
4,"[[[291  91]]

 [[291 311]]

 [[339 311]]

 [[339  91]]]","(315, 201)",-,-,Apr.,30,-,bar
5,"[[[372 225]]

 [[372 311]]

 [[420 311]]

 [[420 225]]]","(396, 268)",-,-,May,10,-,bar
6,"[[[690 225]]

 [[690 311]]

 [[738 311]]

 [[738 225]]]","(714, 268)",-,-,Sep.,10,-,bar
7,"[[[609 254]]

 [[609 311]]

 [[657 311]]

 [[657 254]]]","(633, 282)",-,-,Aug.,10,-,bar
8,"[[[531 276]]

 [[531 311]]

 [[579 311]]

 [[579 276]]]","(555, 293)",-,-,Jul.,0,-,bar
9,"[[[450 306]]

 [[450 311]]

 [[498 311]]

 [[498 306]]]","(474, 308)",-,-,Jun.,0,-,bar
10,"[[[213 313]]

 [[213 399]]

 [[261 399]]

 [[261 313]]]","(237, 356)",-,-,Mar.,0,-,bar
