id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[141  44]]

 [[141  60]]

 [[673  60]]

 [[673  44]]]","(407, 52)",-,-,-,China,-,bar
1,"[[[141  77]]

 [[141  92]]

 [[550  92]]

 [[550  77]]]","(345, 84)",-,-,-,South Korea,-,bar
2,"[[[141 109]]

 [[141 124]]

 [[505 124]]

 [[505 109]]]","(323, 116)",-,-,-,KSA,-,bar
3,"[[[141 141]]

 [[141 156]]

 [[383 156]]

 [[383 141]]]","(262, 148)",-,-,-,Indonesia,-,bar
4,"[[[141 173]]

 [[141 188]]

 [[291 188]]

 [[291 173]]]","(216, 180)",-,-,-,India,-,bar
5,"[[[141 205]]

 [[141 220]]

 [[261 220]]

 [[261 205]]]","(201, 212)",-,-,-,Australia,-,bar
6,"[[[141 237]]

 [[141 252]]

 [[246 252]]

 [[246 237]]]","(193, 244)",-,-,-,Nigeria,-,bar
7,"[[[141 269]]

 [[141 284]]

 [[246 284]]

 [[246 269]]]","(193, 276)",-,-,-,Canada,-,bar
8,"[[[141 301]]

 [[141 316]]

 [[230 316]]

 [[230 301]]]","(185, 308)",-,-,-,USA,-,bar
9,"[[[141 333]]

 [[141 348]]

 [[230 348]]

 [[230 333]]]","(185, 340)",-,-,-,Mexico,-,bar
10,"[[[141 365]]

 [[141 380]]

 [[230 380]]

 [[230 365]]]","(185, 372)",-,-,-,France,-,bar
11,"[[[141 397]]

 [[141 412]]

 [[200 412]]

 [[200 397]]]","(170, 404)",-,-,-,Brazil,-,bar
12,"[[[141 429]]

 [[141 445]]

 [[169 445]]

 [[169 429]]]","(155, 437)",-,-,-,Germany,-,bar
