id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[791  79]]

 [[791 459]]

 [[855 459]]

 [[855  79]]]","(823, 269)",2015,[229 178  81],Q4,6.5 million downloads,-,bar
1,"[[[579 213]]

 [[579 459]]

 [[643 459]]

 [[643 213]]]","(611, 336)",2015,[229 178  81],Q3,3.9,-,bar
2,"[[[367 220]]

 [[367 459]]

 [[431 459]]

 [[431 220]]]","(399, 339)",2015,[229 178  81],Q2,3.9,-,bar
3,"[[[722 223]]

 [[722 459]]

 [[786 459]]

 [[786 223]]]","(754, 341)",2014,[135  87 171],Q4,3.9,-,bar
4,"[[[155 226]]

 [[155 459]]

 [[219 459]]

 [[219 226]]]","(187, 342)",2015,[229 178  81],Q1,3.9,-,bar
5,"[[[ 86 297]]

 [[ 86 459]]

 [[150 459]]

 [[150 297]]]","(118, 378)",2014,[135  87 171],Q1,2.6,-,bar
6,"[[[510 301]]

 [[510 459]]

 [[574 459]]

 [[574 301]]]","(542, 380)",2014,[135  87 171],Q3,2.6,-,bar
7,"[[[298 325]]

 [[298 459]]

 [[362 459]]

 [[362 325]]]","(330, 392)",2014,[135  87 171],Q2,2.6,-,bar
8,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,2014,legend
9,"[[[73 11]]

 [[73 21]]

 [[84 21]]

 [[84 11]]]","(78, 16)",-,"(229, 178, 81)",-,-,2015,legend
