id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[873   1]]

 [[873 459]]

 [[890 459]]

 [[890   1]]]","(881, 230)",Revenue,[229 178  81],'15,$4 billion,-,bar
1,"[[[826  45]]

 [[826 459]]

 [[844 459]]

 [[844  45]]]","(835, 252)",Revenue,[229 178  81],'15,$4 billion,-,bar
2,"[[[733  65]]

 [[733 459]]

 [[751 459]]

 [[751  65]]]","(742, 262)",Revenue,[229 178  81],'15,$4 billion,-,bar
3,"[[[780  96]]

 [[780 459]]

 [[798 459]]

 [[798  96]]]","(789, 277)",Revenue,[229 178  81],'15,$4 billion,-,bar
4,"[[[687 132]]

 [[687 459]]

 [[704 459]]

 [[704 132]]]","(695, 295)",Revenue,[229 178  81],'14,3,-,bar
5,"[[[640 161]]

 [[640 459]]

 [[658 459]]

 [[658 161]]]","(649, 310)",Revenue,[229 178  81],'14,3,-,bar
6,"[[[547 195]]

 [[547 459]]

 [[565 459]]

 [[565 195]]]","(556, 327)",Revenue,[229 178  81],'14,3,-,bar
7,"[[[594 203]]

 [[594 459]]

 [[612 459]]

 [[612 203]]]","(603, 331)",Revenue,[229 178  81],'14,2,-,bar
8,"[[[500 254]]

 [[500 459]]

 [[518 459]]

 [[518 254]]]","(509, 356)",Revenue,[229 178  81],'13,2,-,bar
9,"[[[454 275]]

 [[454 459]]

 [[472 459]]

 [[472 275]]]","(463, 367)",Revenue,[229 178  81],'13,2,-,bar
10,"[[[361 298]]

 [[361 459]]

 [[379 459]]

 [[379 298]]]","(370, 378)",Revenue,[229 178  81],'13,2,-,bar
11,"[[[408 311]]

 [[408 459]]

 [[426 459]]

 [[426 311]]]","(417, 385)",Revenue,[229 178  81],'13,1,-,bar
12,"[[[314 331]]

 [[314 459]]

 [[332 459]]

 [[332 331]]]","(323, 395)",Revenue,[229 178  81],'12,1,-,bar
13,"[[[268 339]]

 [[268 459]]

 [[285 459]]

 [[285 339]]]","(276, 399)",Revenue,[229 178  81],'12,1,-,bar
14,"[[[174 345]]

 [[174 459]]

 [[192 459]]

 [[192 345]]]","(183, 402)",Revenue,[229 178  81],'12,1,-,bar
15,"[[[221 352]]

 [[221 459]]

 [[239 459]]

 [[239 352]]]","(230, 405)",Revenue,[229 178  81],'12,1,-,bar
16,"[[[127 363]]

 [[127 459]]

 [[145 459]]

 [[145 363]]]","(136, 411)",Revenue,[229 178  81],'11,1,-,bar
17,"[[[ 81 369]]

 [[ 81 459]]

 [[ 99 459]]

 [[ 99 369]]]","(90, 414)",Revenue,[229 178  81],'11,1,-,bar
18,"[[[893 369]]

 [[893 459]]

 [[911 459]]

 [[911 369]]]","(902, 414)",Profit,[159  96   0],'15,1,-,bar
19,"[[[707 378]]

 [[707 459]]

 [[725 459]]

 [[725 378]]]","(716, 418)",Profit,[159  96   0],'15,1,-,bar
20,"[[[661 380]]

 [[661 459]]

 [[678 459]]

 [[678 380]]]","(669, 419)",Profit,[159  96   0],'14,1,-,bar
21,"[[[ 35 386]]

 [[ 35 459]]

 [[ 53 459]]

 [[ 53 386]]]","(44, 422)",Revenue,[229 178  81],'11,1,-,bar
22,"[[[847 387]]

 [[847 459]]

 [[864 459]]

 [[864 387]]]","(855, 423)",Profit,[159  96   0],'15,1,-,bar
23,"[[[754 389]]

 [[754 459]]

 [[772 459]]

 [[772 389]]]","(763, 424)",Profit,[159  96   0],'15,1,-,bar
24,"[[[615 395]]

 [[615 459]]

 [[632 459]]

 [[632 395]]]","(623, 427)",Profit,[159  96   0],'14,1,-,bar
25,"[[[568 408]]

 [[568 459]]

 [[585 459]]

 [[585 408]]]","(576, 433)",Profit,[159  96   0],'14,1,-,bar
26,"[[[801 409]]

 [[801 459]]

 [[819 459]]

 [[819 409]]]","(810, 434)",Profit,[159  96   0],'15,0,-,bar
27,"[[[521 418]]

 [[521 459]]

 [[539 459]]

 [[539 418]]]","(530, 438)",Profit,[159  96   0],'14,0,-,bar
28,"[[[474 427]]

 [[474 459]]

 [[492 459]]

 [[492 427]]]","(483, 443)",Profit,[159  96   0],'13,0,-,bar
29,"[[[195 430]]

 [[195 459]]

 [[213 459]]

 [[213 430]]]","(204, 444)",Profit,[159  96   0],'12,0,-,bar
30,"[[[ 55 437]]

 [[ 55 459]]

 [[ 74 459]]

 [[ 74 437]]]","(64, 448)",Profit,[159  96   0],'11,0,-,bar
31,"[[[102 437]]

 [[102 459]]

 [[119 459]]

 [[119 437]]]","(110, 448)",Profit,[159  96   0],'11,0,-,bar
32,"[[[148 438]]

 [[148 459]]

 [[166 459]]

 [[166 438]]]","(157, 448)",Profit,[159  96   0],'12,0,-,bar
33,"[[[428 439]]

 [[428 459]]

 [[446 459]]

 [[446 439]]]","(437, 449)",Profit,[159  96   0],'13,0,-,bar
34,"[[[242 440]]

 [[242 459]]

 [[260 459]]

 [[260 440]]]","(251, 449)",Profit,[159  96   0],'12,0,-,bar
35,"[[[382 455]]

 [[382 459]]

 [[399 459]]

 [[399 455]]]","(390, 457)",Profit,[159  96   0],'13,0,-,bar
